Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
20,e74a7377d0f6d1c544a82cfb48e2fdae1ed6b2ee655034a8909b062b2805f3c6,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 4.,Willingness to take risk,70,female,Brazil
20,e74a7377d0f6d1c544a82cfb48e2fdae1ed6b2ee655034a8909b062b2805f3c6,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,70,female,Brazil
20,e74a7377d0f6d1c544a82cfb48e2fdae1ed6b2ee655034a8909b062b2805f3c6,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,70,female,Brazil
20,e74a7377d0f6d1c544a82cfb48e2fdae1ed6b2ee655034a8909b062b2805f3c6,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,70,female,Brazil
20,e74a7377d0f6d1c544a82cfb48e2fdae1ed6b2ee655034a8909b062b2805f3c6,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,70,female,Brazil
20,e74a7377d0f6d1c544a82cfb48e2fdae1ed6b2ee655034a8909b062b2805f3c6,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",9,Will return favor,70,female,Brazil
20,e74a7377d0f6d1c544a82cfb48e2fdae1ed6b2ee655034a8909b062b2805f3c6,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,70,female,Brazil
20,e74a7377d0f6d1c544a82cfb48e2fdae1ed6b2ee655034a8909b062b2805f3c6,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,8,People have best intentions,70,female,Brazil
20,e74a7377d0f6d1c544a82cfb48e2fdae1ed6b2ee655034a8909b062b2805f3c6,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,5,Good at math,70,female,Brazil
20,e74a7377d0f6d1c544a82cfb48e2fdae1ed6b2ee655034a8909b062b2805f3c6,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,70,female,Brazil
