Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 5.,Willingness to take risk,46,male,Czech Republic
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,46,male,Czech Republic
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,46,male,Czech Republic
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,46,male,Czech Republic
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,46,male,Czech Republic
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",9,Will return favor,46,male,Czech Republic
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",5,Will do revenge,46,male,Czech Republic
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,46,male,Czech Republic
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,46,male,Czech Republic
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,6,Procrastinate,46,male,Czech Republic
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,46,male,Czech Republic
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,46,male,Czech Republic
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 3000 CZK and the same 50-percent chance of receiving nothing, OR Option 2: 100 CZK as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 100,46,male,Czech Republic
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,What would you prefer? Option 1: A payment of 1000 CZK today OR Option 2: 1030.0 CZK in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 1030.0,46,male,Czech Republic
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,What would you prefer? Option 1: A payment of 1000 CZK today OR Option 2: 1060.0 CZK in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 1060.0,46,male,Czech Republic
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,What would you prefer? Option 1: A payment of 1000 CZK today OR Option 2: 1090.0 CZK in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 1090.0,46,male,Czech Republic
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,What would you prefer? Option 1: A payment of 1000 CZK today OR Option 2: 1120.0 CZK in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 1120.0,46,male,Czech Republic
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,Imagine someone did you a favor that cost them 50 CZK. How much would you be willing to spend to return the favor? Please answer with a single number.,100 CZK,Reciprocation 50,46,male,Czech Republic
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,Imagine someone did you a favor that cost them 100 CZK. How much would you be willing to spend to return the favor? Please answer with a single number.,100 CZK,Reciprocation 100,46,male,Czech Republic
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,Imagine someone did you a favor that cost them 150 CZK. How much would you be willing to spend to return the favor? Please answer with a single number.,150,Reciprocation 150,46,male,Czech Republic
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,Imagine someone did you a favor that cost them 200 CZK. How much would you be willing to spend to return the favor? Please answer with a single number.,200,Reciprocation 200,46,male,Czech Republic
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,Imagine someone did you a favor that cost them 200 CZK. How much would you be willing to spend to return the favor? Please answer with a single number.,200,Reciprocation 200,46,male,Czech Republic
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,Imagine someone did you a favor that cost them 250 CZK. How much would you be willing to spend to return the favor? Please answer with a single number.,250,Reciprocation 250,46,male,Czech Republic
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,Imagine someone did you a favor that cost them 300 CZK. How much would you be willing to spend to return the favor? Please answer with a single number.,300,Reciprocation 300,46,male,Czech Republic
37,dcb4a26c71165660172ab578bf1bdca2964650ddf1455997f9bc1f013cb7bb6e,You unexpectedly received 12000.0 CZK. How much of this amount would you donate to a good cause? Please answer with a single number.,2000.0,Donation 12000.0,46,male,Czech Republic
38,c52f1bf252cb6d2837c1c82d7d75085d7160cdb75aed30934299fb2f8be22318,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 5.,Willingness to take risk,68,female,Czech Republic
