Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 7.,Willingness to take risk,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1200 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 40 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 40,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1200 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 80 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 80,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1200 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 120 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 120,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1200 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 160 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 160,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1200 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 200 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 200,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,What would you prefer? Option 1: A payment of 400 EUR today OR Option 2: 412.0 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 412.0,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,What would you prefer? Option 1: A payment of 400 EUR today OR Option 2: 424.4 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 424.4,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,What would you prefer? Option 1: A payment of 400 EUR today OR Option 2: 436.8 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 436.8,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,What would you prefer? Option 1: A payment of 400 EUR today OR Option 2: 449.6 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 449.6,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,What would you prefer? Option 1: A payment of 400 EUR today OR Option 2: 462.4 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 462.4,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,What would you prefer? Option 1: A payment of 400 EUR today OR Option 2: 475.2 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 475.2,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,What would you prefer? Option 1: A payment of 400 EUR today OR Option 2: 488.3999999999999 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 488.3999999999999,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,Imagine someone did you a favor that cost them 20 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 20,26,male,Estonia
41,67c248c708641a017f992e4d794fb86594b285c773feac3d0a76f110b8e4e15f,Imagine someone did you a favor that cost them 40 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 40 EUR to return the favor.,Reciprocation 40,26,male,Estonia
