Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
53,2a89b984d67fdc576255b3ebb6fdf2866da8fe92c67306c8c6fd41a670052d7d,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,40,male,Guatemala
53,2a89b984d67fdc576255b3ebb6fdf2866da8fe92c67306c8c6fd41a670052d7d,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,40,male,Guatemala
53,2a89b984d67fdc576255b3ebb6fdf2866da8fe92c67306c8c6fd41a670052d7d,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,40,male,Guatemala
53,2a89b984d67fdc576255b3ebb6fdf2866da8fe92c67306c8c6fd41a670052d7d,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,40,male,Guatemala
53,2a89b984d67fdc576255b3ebb6fdf2866da8fe92c67306c8c6fd41a670052d7d,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,40,male,Guatemala
53,2a89b984d67fdc576255b3ebb6fdf2866da8fe92c67306c8c6fd41a670052d7d,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,40,male,Guatemala
53,2a89b984d67fdc576255b3ebb6fdf2866da8fe92c67306c8c6fd41a670052d7d,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,40,male,Guatemala
53,2a89b984d67fdc576255b3ebb6fdf2866da8fe92c67306c8c6fd41a670052d7d,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,40,male,Guatemala
53,2a89b984d67fdc576255b3ebb6fdf2866da8fe92c67306c8c6fd41a670052d7d,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,40,male,Guatemala
53,2a89b984d67fdc576255b3ebb6fdf2866da8fe92c67306c8c6fd41a670052d7d,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,40,male,Guatemala
53,2a89b984d67fdc576255b3ebb6fdf2866da8fe92c67306c8c6fd41a670052d7d,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,40,male,Guatemala
53,2a89b984d67fdc576255b3ebb6fdf2866da8fe92c67306c8c6fd41a670052d7d,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,40,male,Guatemala
53,2a89b984d67fdc576255b3ebb6fdf2866da8fe92c67306c8c6fd41a670052d7d,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 GTQ and the same 50-percent chance of receiving nothing, OR Option 2: 5 GTQ as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 5,40,male,Guatemala
53,2a89b984d67fdc576255b3ebb6fdf2866da8fe92c67306c8c6fd41a670052d7d,What would you prefer? Option 1: A payment of 100 GTQ today OR Option 2: 103.0 GTQ in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 103.0,40,male,Guatemala
53,2a89b984d67fdc576255b3ebb6fdf2866da8fe92c67306c8c6fd41a670052d7d,What would you prefer? Option 1: A payment of 100 GTQ today OR Option 2: 106.1 GTQ in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 106.1,40,male,Guatemala
53,2a89b984d67fdc576255b3ebb6fdf2866da8fe92c67306c8c6fd41a670052d7d,What would you prefer? Option 1: A payment of 100 GTQ today OR Option 2: 109.2 GTQ in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 109.2,40,male,Guatemala
53,2a89b984d67fdc576255b3ebb6fdf2866da8fe92c67306c8c6fd41a670052d7d,Imagine someone did you a favor that cost them 3 GTQ. How much would you be willing to spend to return the favor? Please answer with a single number.,5,Reciprocation 3,40,male,Guatemala
53,2a89b984d67fdc576255b3ebb6fdf2866da8fe92c67306c8c6fd41a670052d7d,Imagine someone did you a favor that cost them 6 GTQ. How much would you be willing to spend to return the favor? Please answer with a single number.,7 GTQ,Reciprocation 6,40,male,Guatemala
53,2a89b984d67fdc576255b3ebb6fdf2866da8fe92c67306c8c6fd41a670052d7d,Imagine someone did you a favor that cost them 9 GTQ. How much would you be willing to spend to return the favor? Please answer with a single number.,9,Reciprocation 9,40,male,Guatemala
53,2a89b984d67fdc576255b3ebb6fdf2866da8fe92c67306c8c6fd41a670052d7d,Imagine someone did you a favor that cost them 12 GTQ. How much would you be willing to spend to return the favor? Please answer with a single number.,12 GTQ,Reciprocation 12,40,male,Guatemala
53,2a89b984d67fdc576255b3ebb6fdf2866da8fe92c67306c8c6fd41a670052d7d,Imagine someone did you a favor that cost them 12 GTQ. How much would you be willing to spend to return the favor? Please answer with a single number.,12 GTQ,Reciprocation 12,40,male,Guatemala
53,2a89b984d67fdc576255b3ebb6fdf2866da8fe92c67306c8c6fd41a670052d7d,Imagine someone did you a favor that cost them 15 GTQ. How much would you be willing to spend to return the favor? Please answer with a single number.,15,Reciprocation 15,40,male,Guatemala
53,2a89b984d67fdc576255b3ebb6fdf2866da8fe92c67306c8c6fd41a670052d7d,Imagine someone did you a favor that cost them 18 GTQ. How much would you be willing to spend to return the favor? Please answer with a single number.,18,Reciprocation 18,40,male,Guatemala
53,2a89b984d67fdc576255b3ebb6fdf2866da8fe92c67306c8c6fd41a670052d7d,You unexpectedly received 600.0 GTQ. How much of this amount would you donate to a good cause? Please answer with a single number.,100.0,Donation 600.0,40,male,Guatemala
54,a9bf0e07dae1d527252fc781549a074ac26d01552575f37d7e1a825b7255ee93,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,24,female,Guatemala
