Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
59,1cc3dc2bf9534159641cd678df01b1efba370e0a177870c074ef55fb4e8ee41a,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would say my willingness to take risks is around a 4.,Willingness to take risk,71,male,Indonesia
59,1cc3dc2bf9534159641cd678df01b1efba370e0a177870c074ef55fb4e8ee41a,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,71,male,Indonesia
59,1cc3dc2bf9534159641cd678df01b1efba370e0a177870c074ef55fb4e8ee41a,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,71,male,Indonesia
59,1cc3dc2bf9534159641cd678df01b1efba370e0a177870c074ef55fb4e8ee41a,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,71,male,Indonesia
59,1cc3dc2bf9534159641cd678df01b1efba370e0a177870c074ef55fb4e8ee41a,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,71,male,Indonesia
59,1cc3dc2bf9534159641cd678df01b1efba370e0a177870c074ef55fb4e8ee41a,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",10,Will return favor,71,male,Indonesia
59,1cc3dc2bf9534159641cd678df01b1efba370e0a177870c074ef55fb4e8ee41a,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,71,male,Indonesia
59,1cc3dc2bf9534159641cd678df01b1efba370e0a177870c074ef55fb4e8ee41a,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,71,male,Indonesia
59,1cc3dc2bf9534159641cd678df01b1efba370e0a177870c074ef55fb4e8ee41a,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,5,Good at math,71,male,Indonesia
59,1cc3dc2bf9534159641cd678df01b1efba370e0a177870c074ef55fb4e8ee41a,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,71,male,Indonesia
