Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 5 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 5,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 10 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 10,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 15 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 15,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 20 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 20,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 25 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 25,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 30 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 30,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 103.0 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 103.0,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 106.1 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 106.1,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,Imagine someone did you a favor that cost them 3 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,3,Reciprocation 3,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,Imagine someone did you a favor that cost them 6 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,10,Reciprocation 6,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,Imagine someone did you a favor that cost them 9 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,9,Reciprocation 9,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,Imagine someone did you a favor that cost them 12 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,15,Reciprocation 12,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,Imagine someone did you a favor that cost them 12 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,12,Reciprocation 12,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,Imagine someone did you a favor that cost them 15 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 20 EUR to return the favor.,Reciprocation 15,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,Imagine someone did you a favor that cost them 18 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 18,26,male,Lithuania
77,d6a92013e7384a03af9ad17ee3caf1506d6c84975ba964a0a8cb611157108e9e,You unexpectedly received 600.0 EUR. How much of this amount would you donate to a good cause? Please answer with a single number.,100.0,Donation 600.0,26,male,Lithuania
78,ec554db1c54308ea0eab5e2d08db9f8eb6eced14341595e260cc769ef89bb8bd,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,31,female,Lithuania
78,ec554db1c54308ea0eab5e2d08db9f8eb6eced14341595e260cc769ef89bb8bd,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,31,female,Lithuania
78,ec554db1c54308ea0eab5e2d08db9f8eb6eced14341595e260cc769ef89bb8bd,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,31,female,Lithuania
78,ec554db1c54308ea0eab5e2d08db9f8eb6eced14341595e260cc769ef89bb8bd,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,31,female,Lithuania
78,ec554db1c54308ea0eab5e2d08db9f8eb6eced14341595e260cc769ef89bb8bd,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,31,female,Lithuania
78,ec554db1c54308ea0eab5e2d08db9f8eb6eced14341595e260cc769ef89bb8bd,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,31,female,Lithuania
78,ec554db1c54308ea0eab5e2d08db9f8eb6eced14341595e260cc769ef89bb8bd,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,31,female,Lithuania
78,ec554db1c54308ea0eab5e2d08db9f8eb6eced14341595e260cc769ef89bb8bd,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,31,female,Lithuania
78,ec554db1c54308ea0eab5e2d08db9f8eb6eced14341595e260cc769ef89bb8bd,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,31,female,Lithuania
78,ec554db1c54308ea0eab5e2d08db9f8eb6eced14341595e260cc769ef89bb8bd,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,31,female,Lithuania
78,ec554db1c54308ea0eab5e2d08db9f8eb6eced14341595e260cc769ef89bb8bd,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,31,female,Lithuania
