Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I'd rate my willingness to take risks as a 6.,Willingness to take risk,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",50,Present giving,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",200,Donate,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 MDL and the same 50-percent chance of receiving nothing, OR Option 2: 10 MDL as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 10,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 MDL and the same 50-percent chance of receiving nothing, OR Option 2: 20 MDL as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 20,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,What would you prefer? Option 1: A payment of 100 MDL today OR Option 2: 103.0 MDL in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 103.0,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,What would you prefer? Option 1: A payment of 100 MDL today OR Option 2: 106.1 MDL in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 106.1,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,What would you prefer? Option 1: A payment of 100 MDL today OR Option 2: 109.2 MDL in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 109.2,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,What would you prefer? Option 1: A payment of 100 MDL today OR Option 2: 112.4 MDL in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 112.4,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,Imagine someone did you a favor that cost them 4 MDL. How much would you be willing to spend to return the favor? Please answer with a single number.,5 MDL,Reciprocation 4,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,Imagine someone did you a favor that cost them 8 MDL. How much would you be willing to spend to return the favor? Please answer with a single number.,10 MDL,Reciprocation 8,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,Imagine someone did you a favor that cost them 12 MDL. How much would you be willing to spend to return the favor? Please answer with a single number.,12,Reciprocation 12,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,Imagine someone did you a favor that cost them 16 MDL. How much would you be willing to spend to return the favor? Please answer with a single number.,20 MDL,Reciprocation 16,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,Imagine someone did you a favor that cost them 16 MDL. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 16,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,Imagine someone did you a favor that cost them 20 MDL. How much would you be willing to spend to return the favor? Please answer with a single number.,30,Reciprocation 20,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,Imagine someone did you a favor that cost them 24 MDL. How much would you be willing to spend to return the favor? Please answer with a single number.,20 MDL,Reciprocation 24,30,female,Moldova
82,d790f8f37b1d3a1d72f70a3e278b3dbdba9da93604815c98ec57bddf00113ffb,You unexpectedly received 800.0 MDL. How much of this amount would you donate to a good cause? Please answer with a single number.,400,Donation 800.0,30,female,Moldova
81,28900e72f719bc302f57beab60795ffa4de856750fbed706384768acac01e71e,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 4.,Willingness to take risk,79,male,Moldova
81,28900e72f719bc302f57beab60795ffa4de856750fbed706384768acac01e71e,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,79,male,Moldova
81,28900e72f719bc302f57beab60795ffa4de856750fbed706384768acac01e71e,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,79,male,Moldova
81,28900e72f719bc302f57beab60795ffa4de856750fbed706384768acac01e71e,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,79,male,Moldova
81,28900e72f719bc302f57beab60795ffa4de856750fbed706384768acac01e71e,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,79,male,Moldova
81,28900e72f719bc302f57beab60795ffa4de856750fbed706384768acac01e71e,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,79,male,Moldova
81,28900e72f719bc302f57beab60795ffa4de856750fbed706384768acac01e71e,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,79,male,Moldova
81,28900e72f719bc302f57beab60795ffa4de856750fbed706384768acac01e71e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,79,male,Moldova
81,28900e72f719bc302f57beab60795ffa4de856750fbed706384768acac01e71e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,5,Good at math,79,male,Moldova
81,28900e72f719bc302f57beab60795ffa4de856750fbed706384768acac01e71e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,79,male,Moldova
81,28900e72f719bc302f57beab60795ffa4de856750fbed706384768acac01e71e,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,79,male,Moldova
81,28900e72f719bc302f57beab60795ffa4de856750fbed706384768acac01e71e,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",800,Donate,79,male,Moldova
