Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
128,a158b6ed99af2bf26e9167d27d58ddf66c42fd26f62e8a440f7ce21acd4e0fb1,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would say I am at a 4.,Willingness to take risk,74,female,Turkey
128,a158b6ed99af2bf26e9167d27d58ddf66c42fd26f62e8a440f7ce21acd4e0fb1,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,74,female,Turkey
128,a158b6ed99af2bf26e9167d27d58ddf66c42fd26f62e8a440f7ce21acd4e0fb1,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,74,female,Turkey
128,a158b6ed99af2bf26e9167d27d58ddf66c42fd26f62e8a440f7ce21acd4e0fb1,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,74,female,Turkey
128,a158b6ed99af2bf26e9167d27d58ddf66c42fd26f62e8a440f7ce21acd4e0fb1,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,74,female,Turkey
128,a158b6ed99af2bf26e9167d27d58ddf66c42fd26f62e8a440f7ce21acd4e0fb1,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,74,female,Turkey
128,a158b6ed99af2bf26e9167d27d58ddf66c42fd26f62e8a440f7ce21acd4e0fb1,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,74,female,Turkey
128,a158b6ed99af2bf26e9167d27d58ddf66c42fd26f62e8a440f7ce21acd4e0fb1,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,7,People have best intentions,74,female,Turkey
128,a158b6ed99af2bf26e9167d27d58ddf66c42fd26f62e8a440f7ce21acd4e0fb1,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,5,Good at math,74,female,Turkey
128,a158b6ed99af2bf26e9167d27d58ddf66c42fd26f62e8a440f7ce21acd4e0fb1,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,74,female,Turkey
128,a158b6ed99af2bf26e9167d27d58ddf66c42fd26f62e8a440f7ce21acd4e0fb1,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,74,female,Turkey
128,a158b6ed99af2bf26e9167d27d58ddf66c42fd26f62e8a440f7ce21acd4e0fb1,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,74,female,Turkey
128,a158b6ed99af2bf26e9167d27d58ddf66c42fd26f62e8a440f7ce21acd4e0fb1,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 TRY and the same 50-percent chance of receiving nothing, OR Option 2: 5 TRY as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 5,74,female,Turkey
