Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
131,46c3371f4a724341928a0a772c136595e3798e83873424507b20c8b707267763,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would say I am at a 4 on the risk scale.,Willingness to take risk,76,male,Ukraine
131,46c3371f4a724341928a0a772c136595e3798e83873424507b20c8b707267763,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,76,male,Ukraine
131,46c3371f4a724341928a0a772c136595e3798e83873424507b20c8b707267763,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,76,male,Ukraine
131,46c3371f4a724341928a0a772c136595e3798e83873424507b20c8b707267763,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,76,male,Ukraine
131,46c3371f4a724341928a0a772c136595e3798e83873424507b20c8b707267763,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,76,male,Ukraine
131,46c3371f4a724341928a0a772c136595e3798e83873424507b20c8b707267763,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,76,male,Ukraine
131,46c3371f4a724341928a0a772c136595e3798e83873424507b20c8b707267763,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,76,male,Ukraine
131,46c3371f4a724341928a0a772c136595e3798e83873424507b20c8b707267763,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,76,male,Ukraine
131,46c3371f4a724341928a0a772c136595e3798e83873424507b20c8b707267763,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,4,Good at math,76,male,Ukraine
131,46c3371f4a724341928a0a772c136595e3798e83873424507b20c8b707267763,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,76,male,Ukraine
131,46c3371f4a724341928a0a772c136595e3798e83873424507b20c8b707267763,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,76,male,Ukraine
131,46c3371f4a724341928a0a772c136595e3798e83873424507b20c8b707267763,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,76,male,Ukraine
131,46c3371f4a724341928a0a772c136595e3798e83873424507b20c8b707267763,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 UAH and the same 50-percent chance of receiving nothing, OR Option 2: 10 UAH as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 10,76,male,Ukraine
131,46c3371f4a724341928a0a772c136595e3798e83873424507b20c8b707267763,What would you prefer? Option 1: A payment of 100 UAH today OR Option 2: 103.0 UAH in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 103.0,76,male,Ukraine
131,46c3371f4a724341928a0a772c136595e3798e83873424507b20c8b707267763,Imagine someone did you a favor that cost them 5 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,10 UAH,Reciprocation 5,76,male,Ukraine
131,46c3371f4a724341928a0a772c136595e3798e83873424507b20c8b707267763,Imagine someone did you a favor that cost them 10 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,10,Reciprocation 10,76,male,Ukraine
131,46c3371f4a724341928a0a772c136595e3798e83873424507b20c8b707267763,Imagine someone did you a favor that cost them 15 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,15,Reciprocation 15,76,male,Ukraine
131,46c3371f4a724341928a0a772c136595e3798e83873424507b20c8b707267763,Imagine someone did you a favor that cost them 20 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,40,Reciprocation 20,76,male,Ukraine
131,46c3371f4a724341928a0a772c136595e3798e83873424507b20c8b707267763,Imagine someone did you a favor that cost them 20 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 20,76,male,Ukraine
131,46c3371f4a724341928a0a772c136595e3798e83873424507b20c8b707267763,Imagine someone did you a favor that cost them 25 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,50,Reciprocation 25,76,male,Ukraine
131,46c3371f4a724341928a0a772c136595e3798e83873424507b20c8b707267763,Imagine someone did you a favor that cost them 30 UAH. How much would you be willing to spend to return the favor? Please answer with a single number.,30 UAH,Reciprocation 30,76,male,Ukraine
131,46c3371f4a724341928a0a772c136595e3798e83873424507b20c8b707267763,You unexpectedly received 1000.0 UAH. How much of this amount would you donate to a good cause? Please answer with a single number.,500,Donation 1000.0,76,male,Ukraine
