Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
138,3a092566528bfa6d5f81cfbfb66ea48999eba7923273997a8dfb0e1069611f8f,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,42,female,United States
138,3a092566528bfa6d5f81cfbfb66ea48999eba7923273997a8dfb0e1069611f8f,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to delay consumption,42,female,United States
138,3a092566528bfa6d5f81cfbfb66ea48999eba7923273997a8dfb0e1069611f8f,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,42,female,United States
138,3a092566528bfa6d5f81cfbfb66ea48999eba7923273997a8dfb0e1069611f8f,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,42,female,United States
138,3a092566528bfa6d5f81cfbfb66ea48999eba7923273997a8dfb0e1069611f8f,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,42,female,United States
138,3a092566528bfa6d5f81cfbfb66ea48999eba7923273997a8dfb0e1069611f8f,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,42,female,United States
138,3a092566528bfa6d5f81cfbfb66ea48999eba7923273997a8dfb0e1069611f8f,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,42,female,United States
138,3a092566528bfa6d5f81cfbfb66ea48999eba7923273997a8dfb0e1069611f8f,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,42,female,United States
138,3a092566528bfa6d5f81cfbfb66ea48999eba7923273997a8dfb0e1069611f8f,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,42,female,United States
138,3a092566528bfa6d5f81cfbfb66ea48999eba7923273997a8dfb0e1069611f8f,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,42,female,United States
138,3a092566528bfa6d5f81cfbfb66ea48999eba7923273997a8dfb0e1069611f8f,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",20,Present giving,42,female,United States
138,3a092566528bfa6d5f81cfbfb66ea48999eba7923273997a8dfb0e1069611f8f,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,42,female,United States
138,3a092566528bfa6d5f81cfbfb66ea48999eba7923273997a8dfb0e1069611f8f,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 450 USD and the same 50-percent chance of receiving nothing, OR Option 2: 15 USD as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 15,42,female,United States
137,1501c22f22dec333f28dc6668e02b863826ae711d654b133e7dad88b2445285d,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",7,Willingness to take risk,34,male,United States
137,1501c22f22dec333f28dc6668e02b863826ae711d654b133e7dad88b2445285d,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,34,male,United States
137,1501c22f22dec333f28dc6668e02b863826ae711d654b133e7dad88b2445285d,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,34,male,United States
137,1501c22f22dec333f28dc6668e02b863826ae711d654b133e7dad88b2445285d,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,34,male,United States
137,1501c22f22dec333f28dc6668e02b863826ae711d654b133e7dad88b2445285d,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,34,male,United States
137,1501c22f22dec333f28dc6668e02b863826ae711d654b133e7dad88b2445285d,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",9,Will return favor,34,male,United States
137,1501c22f22dec333f28dc6668e02b863826ae711d654b133e7dad88b2445285d,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,34,male,United States
137,1501c22f22dec333f28dc6668e02b863826ae711d654b133e7dad88b2445285d,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,34,male,United States
137,1501c22f22dec333f28dc6668e02b863826ae711d654b133e7dad88b2445285d,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,8,Good at math,34,male,United States
137,1501c22f22dec333f28dc6668e02b863826ae711d654b133e7dad88b2445285d,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,34,male,United States
137,1501c22f22dec333f28dc6668e02b863826ae711d654b133e7dad88b2445285d,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,34,male,United States
137,1501c22f22dec333f28dc6668e02b863826ae711d654b133e7dad88b2445285d,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,34,male,United States
137,1501c22f22dec333f28dc6668e02b863826ae711d654b133e7dad88b2445285d,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 450 USD and the same 50-percent chance of receiving nothing, OR Option 2: 15 USD as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 15,34,male,United States
138,bc4d1157eeec45626629171bc40f54398bfbd5772bea5e9ef2716bfb0c7bc4db,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 5.,Willingness to take risk,62,female,United States
138,bc4d1157eeec45626629171bc40f54398bfbd5772bea5e9ef2716bfb0c7bc4db,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,62,female,United States
138,bc4d1157eeec45626629171bc40f54398bfbd5772bea5e9ef2716bfb0c7bc4db,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,62,female,United States
138,bc4d1157eeec45626629171bc40f54398bfbd5772bea5e9ef2716bfb0c7bc4db,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,62,female,United States
138,bc4d1157eeec45626629171bc40f54398bfbd5772bea5e9ef2716bfb0c7bc4db,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,62,female,United States
138,bc4d1157eeec45626629171bc40f54398bfbd5772bea5e9ef2716bfb0c7bc4db,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,62,female,United States
138,bc4d1157eeec45626629171bc40f54398bfbd5772bea5e9ef2716bfb0c7bc4db,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,62,female,United States
138,bc4d1157eeec45626629171bc40f54398bfbd5772bea5e9ef2716bfb0c7bc4db,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,62,female,United States
138,bc4d1157eeec45626629171bc40f54398bfbd5772bea5e9ef2716bfb0c7bc4db,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,4,Good at math,62,female,United States
138,bc4d1157eeec45626629171bc40f54398bfbd5772bea5e9ef2716bfb0c7bc4db,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,62,female,United States
138,bc4d1157eeec45626629171bc40f54398bfbd5772bea5e9ef2716bfb0c7bc4db,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,62,female,United States
138,bc4d1157eeec45626629171bc40f54398bfbd5772bea5e9ef2716bfb0c7bc4db,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,62,female,United States
138,bc4d1157eeec45626629171bc40f54398bfbd5772bea5e9ef2716bfb0c7bc4db,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 450 USD and the same 50-percent chance of receiving nothing, OR Option 2: 15 USD as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 15,62,female,United States
137,8b5b772c83d10a27de491f73823d238baca8c81498a7375478194c74f0d7a2d4,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 4.,Willingness to take risk,79,male,United States
137,8b5b772c83d10a27de491f73823d238baca8c81498a7375478194c74f0d7a2d4,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,79,male,United States
137,8b5b772c83d10a27de491f73823d238baca8c81498a7375478194c74f0d7a2d4,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,79,male,United States
