Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
8a5027de-5dec-4063-b0d1-3843ac0c91a6,07b85cfc2d76d11e005cb19363ef7e43d3960e5d2621f86aab0262eed8da527d,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 4.,Willingness to take risk,69,male,Cambodia
8a5027de-5dec-4063-b0d1-3843ac0c91a6,07b85cfc2d76d11e005cb19363ef7e43d3960e5d2621f86aab0262eed8da527d,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,69,male,Cambodia
8a5027de-5dec-4063-b0d1-3843ac0c91a6,07b85cfc2d76d11e005cb19363ef7e43d3960e5d2621f86aab0262eed8da527d,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,69,male,Cambodia
8a5027de-5dec-4063-b0d1-3843ac0c91a6,07b85cfc2d76d11e005cb19363ef7e43d3960e5d2621f86aab0262eed8da527d,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,69,male,Cambodia
8a5027de-5dec-4063-b0d1-3843ac0c91a6,07b85cfc2d76d11e005cb19363ef7e43d3960e5d2621f86aab0262eed8da527d,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,69,male,Cambodia
8a5027de-5dec-4063-b0d1-3843ac0c91a6,07b85cfc2d76d11e005cb19363ef7e43d3960e5d2621f86aab0262eed8da527d,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,69,male,Cambodia
8a5027de-5dec-4063-b0d1-3843ac0c91a6,07b85cfc2d76d11e005cb19363ef7e43d3960e5d2621f86aab0262eed8da527d,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,69,male,Cambodia
8a5027de-5dec-4063-b0d1-3843ac0c91a6,07b85cfc2d76d11e005cb19363ef7e43d3960e5d2621f86aab0262eed8da527d,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,69,male,Cambodia
8a5027de-5dec-4063-b0d1-3843ac0c91a6,07b85cfc2d76d11e005cb19363ef7e43d3960e5d2621f86aab0262eed8da527d,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,6,Good at math,69,male,Cambodia
8a5027de-5dec-4063-b0d1-3843ac0c91a6,07b85cfc2d76d11e005cb19363ef7e43d3960e5d2621f86aab0262eed8da527d,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,69,male,Cambodia
8a5027de-5dec-4063-b0d1-3843ac0c91a6,07b85cfc2d76d11e005cb19363ef7e43d3960e5d2621f86aab0262eed8da527d,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,69,male,Cambodia
8a5027de-5dec-4063-b0d1-3843ac0c91a6,07b85cfc2d76d11e005cb19363ef7e43d3960e5d2621f86aab0262eed8da527d,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,69,male,Cambodia
8a5027de-5dec-4063-b0d1-3843ac0c91a6,07b85cfc2d76d11e005cb19363ef7e43d3960e5d2621f86aab0262eed8da527d,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 60000 KHR and the same 50-percent chance of receiving nothing, OR Option 2: 2000 KHR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 2000,69,male,Cambodia
