Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
a3324163-93f4-402d-9ad4-49c9cc56263b,dbfe95ba6dafaa2249b31dd3abcdb8fdaf85db0b287f1a5bcc33869a7b645d3b,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,41,male,Sweden
a3324163-93f4-402d-9ad4-49c9cc56263b,dbfe95ba6dafaa2249b31dd3abcdb8fdaf85db0b287f1a5bcc33869a7b645d3b,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,41,male,Sweden
a3324163-93f4-402d-9ad4-49c9cc56263b,dbfe95ba6dafaa2249b31dd3abcdb8fdaf85db0b287f1a5bcc33869a7b645d3b,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,41,male,Sweden
a3324163-93f4-402d-9ad4-49c9cc56263b,dbfe95ba6dafaa2249b31dd3abcdb8fdaf85db0b287f1a5bcc33869a7b645d3b,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,41,male,Sweden
a3324163-93f4-402d-9ad4-49c9cc56263b,dbfe95ba6dafaa2249b31dd3abcdb8fdaf85db0b287f1a5bcc33869a7b645d3b,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,41,male,Sweden
a3324163-93f4-402d-9ad4-49c9cc56263b,dbfe95ba6dafaa2249b31dd3abcdb8fdaf85db0b287f1a5bcc33869a7b645d3b,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",9,Will return favor,41,male,Sweden
a3324163-93f4-402d-9ad4-49c9cc56263b,dbfe95ba6dafaa2249b31dd3abcdb8fdaf85db0b287f1a5bcc33869a7b645d3b,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,41,male,Sweden
a3324163-93f4-402d-9ad4-49c9cc56263b,dbfe95ba6dafaa2249b31dd3abcdb8fdaf85db0b287f1a5bcc33869a7b645d3b,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,41,male,Sweden
a3324163-93f4-402d-9ad4-49c9cc56263b,dbfe95ba6dafaa2249b31dd3abcdb8fdaf85db0b287f1a5bcc33869a7b645d3b,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,41,male,Sweden
a3324163-93f4-402d-9ad4-49c9cc56263b,dbfe95ba6dafaa2249b31dd3abcdb8fdaf85db0b287f1a5bcc33869a7b645d3b,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,41,male,Sweden
a3324163-93f4-402d-9ad4-49c9cc56263b,dbfe95ba6dafaa2249b31dd3abcdb8fdaf85db0b287f1a5bcc33869a7b645d3b,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,41,male,Sweden
