Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
51d306d0-d90d-4915-9f39-b34d0f9555c3,bbbe5a108a8a1a7b0773f024a3f599008b611f75016b24b10fa73cc2e5bf5ba2,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,42,female,Germany
51d306d0-d90d-4915-9f39-b34d0f9555c3,bbbe5a108a8a1a7b0773f024a3f599008b611f75016b24b10fa73cc2e5bf5ba2,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,42,female,Germany
51d306d0-d90d-4915-9f39-b34d0f9555c3,bbbe5a108a8a1a7b0773f024a3f599008b611f75016b24b10fa73cc2e5bf5ba2,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,42,female,Germany
51d306d0-d90d-4915-9f39-b34d0f9555c3,bbbe5a108a8a1a7b0773f024a3f599008b611f75016b24b10fa73cc2e5bf5ba2,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,42,female,Germany
51d306d0-d90d-4915-9f39-b34d0f9555c3,bbbe5a108a8a1a7b0773f024a3f599008b611f75016b24b10fa73cc2e5bf5ba2,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,42,female,Germany
51d306d0-d90d-4915-9f39-b34d0f9555c3,bbbe5a108a8a1a7b0773f024a3f599008b611f75016b24b10fa73cc2e5bf5ba2,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,42,female,Germany
51d306d0-d90d-4915-9f39-b34d0f9555c3,bbbe5a108a8a1a7b0773f024a3f599008b611f75016b24b10fa73cc2e5bf5ba2,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,42,female,Germany
51d306d0-d90d-4915-9f39-b34d0f9555c3,bbbe5a108a8a1a7b0773f024a3f599008b611f75016b24b10fa73cc2e5bf5ba2,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,42,female,Germany
51d306d0-d90d-4915-9f39-b34d0f9555c3,bbbe5a108a8a1a7b0773f024a3f599008b611f75016b24b10fa73cc2e5bf5ba2,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,42,female,Germany
51d306d0-d90d-4915-9f39-b34d0f9555c3,bbbe5a108a8a1a7b0773f024a3f599008b611f75016b24b10fa73cc2e5bf5ba2,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,42,female,Germany
