Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
f3803356-eb57-4e1a-8c4d-0e547188e007,46332daf1b5b2a648a22ef0b62158a9d271095c877f4f1089b04890b47c68c3e,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 4.,Willingness to take risk,69,female,Finland
f3803356-eb57-4e1a-8c4d-0e547188e007,46332daf1b5b2a648a22ef0b62158a9d271095c877f4f1089b04890b47c68c3e,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,69,female,Finland
f3803356-eb57-4e1a-8c4d-0e547188e007,46332daf1b5b2a648a22ef0b62158a9d271095c877f4f1089b04890b47c68c3e,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,69,female,Finland
f3803356-eb57-4e1a-8c4d-0e547188e007,46332daf1b5b2a648a22ef0b62158a9d271095c877f4f1089b04890b47c68c3e,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,69,female,Finland
f3803356-eb57-4e1a-8c4d-0e547188e007,46332daf1b5b2a648a22ef0b62158a9d271095c877f4f1089b04890b47c68c3e,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,69,female,Finland
f3803356-eb57-4e1a-8c4d-0e547188e007,46332daf1b5b2a648a22ef0b62158a9d271095c877f4f1089b04890b47c68c3e,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,69,female,Finland
f3803356-eb57-4e1a-8c4d-0e547188e007,46332daf1b5b2a648a22ef0b62158a9d271095c877f4f1089b04890b47c68c3e,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,69,female,Finland
f3803356-eb57-4e1a-8c4d-0e547188e007,46332daf1b5b2a648a22ef0b62158a9d271095c877f4f1089b04890b47c68c3e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,69,female,Finland
f3803356-eb57-4e1a-8c4d-0e547188e007,46332daf1b5b2a648a22ef0b62158a9d271095c877f4f1089b04890b47c68c3e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,4,Good at math,69,female,Finland
f3803356-eb57-4e1a-8c4d-0e547188e007,46332daf1b5b2a648a22ef0b62158a9d271095c877f4f1089b04890b47c68c3e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,69,female,Finland
