Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
180041bf-7e26-42ef-aa16-0cd0a0f578e3,5a6f87a5bbcc1a816d6bde17d46abe72c45f808c9ece10b2b1584025e2144d06,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks at a 7.,Willingness to take risk,21,female,Nicaragua
180041bf-7e26-42ef-aa16-0cd0a0f578e3,5a6f87a5bbcc1a816d6bde17d46abe72c45f808c9ece10b2b1584025e2144d06,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,21,female,Nicaragua
180041bf-7e26-42ef-aa16-0cd0a0f578e3,5a6f87a5bbcc1a816d6bde17d46abe72c45f808c9ece10b2b1584025e2144d06,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,21,female,Nicaragua
180041bf-7e26-42ef-aa16-0cd0a0f578e3,5a6f87a5bbcc1a816d6bde17d46abe72c45f808c9ece10b2b1584025e2144d06,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,21,female,Nicaragua
180041bf-7e26-42ef-aa16-0cd0a0f578e3,5a6f87a5bbcc1a816d6bde17d46abe72c45f808c9ece10b2b1584025e2144d06,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,21,female,Nicaragua
180041bf-7e26-42ef-aa16-0cd0a0f578e3,5a6f87a5bbcc1a816d6bde17d46abe72c45f808c9ece10b2b1584025e2144d06,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,21,female,Nicaragua
180041bf-7e26-42ef-aa16-0cd0a0f578e3,5a6f87a5bbcc1a816d6bde17d46abe72c45f808c9ece10b2b1584025e2144d06,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,21,female,Nicaragua
180041bf-7e26-42ef-aa16-0cd0a0f578e3,5a6f87a5bbcc1a816d6bde17d46abe72c45f808c9ece10b2b1584025e2144d06,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,7,People have best intentions,21,female,Nicaragua
180041bf-7e26-42ef-aa16-0cd0a0f578e3,5a6f87a5bbcc1a816d6bde17d46abe72c45f808c9ece10b2b1584025e2144d06,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,21,female,Nicaragua
180041bf-7e26-42ef-aa16-0cd0a0f578e3,5a6f87a5bbcc1a816d6bde17d46abe72c45f808c9ece10b2b1584025e2144d06,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,21,female,Nicaragua
180041bf-7e26-42ef-aa16-0cd0a0f578e3,5a6f87a5bbcc1a816d6bde17d46abe72c45f808c9ece10b2b1584025e2144d06,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,21,female,Nicaragua
180041bf-7e26-42ef-aa16-0cd0a0f578e3,5a6f87a5bbcc1a816d6bde17d46abe72c45f808c9ece10b2b1584025e2144d06,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,21,female,Nicaragua
180041bf-7e26-42ef-aa16-0cd0a0f578e3,5a6f87a5bbcc1a816d6bde17d46abe72c45f808c9ece10b2b1584025e2144d06,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 NIO and the same 50-percent chance of receiving nothing, OR Option 2: 10 NIO as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 10,21,female,Nicaragua
180041bf-7e26-42ef-aa16-0cd0a0f578e3,5a6f87a5bbcc1a816d6bde17d46abe72c45f808c9ece10b2b1584025e2144d06,What would you prefer? Option 1: A payment of 100 NIO today OR Option 2: 103.0 NIO in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 103.0,21,female,Nicaragua
180041bf-7e26-42ef-aa16-0cd0a0f578e3,5a6f87a5bbcc1a816d6bde17d46abe72c45f808c9ece10b2b1584025e2144d06,What would you prefer? Option 1: A payment of 100 NIO today OR Option 2: 106.1 NIO in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 106.1,21,female,Nicaragua
180041bf-7e26-42ef-aa16-0cd0a0f578e3,5a6f87a5bbcc1a816d6bde17d46abe72c45f808c9ece10b2b1584025e2144d06,What would you prefer? Option 1: A payment of 100 NIO today OR Option 2: 109.2 NIO in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 109.2,21,female,Nicaragua
180041bf-7e26-42ef-aa16-0cd0a0f578e3,5a6f87a5bbcc1a816d6bde17d46abe72c45f808c9ece10b2b1584025e2144d06,Imagine someone did you a favor that cost them 5 NIO. How much would you be willing to spend to return the favor? Please answer with a single number.,5,Reciprocation 5,21,female,Nicaragua
180041bf-7e26-42ef-aa16-0cd0a0f578e3,5a6f87a5bbcc1a816d6bde17d46abe72c45f808c9ece10b2b1584025e2144d06,Imagine someone did you a favor that cost them 10 NIO. How much would you be willing to spend to return the favor? Please answer with a single number.,10,Reciprocation 10,21,female,Nicaragua
180041bf-7e26-42ef-aa16-0cd0a0f578e3,5a6f87a5bbcc1a816d6bde17d46abe72c45f808c9ece10b2b1584025e2144d06,Imagine someone did you a favor that cost them 15 NIO. How much would you be willing to spend to return the favor? Please answer with a single number.,15 NIO,Reciprocation 15,21,female,Nicaragua
180041bf-7e26-42ef-aa16-0cd0a0f578e3,5a6f87a5bbcc1a816d6bde17d46abe72c45f808c9ece10b2b1584025e2144d06,Imagine someone did you a favor that cost them 20 NIO. How much would you be willing to spend to return the favor? Please answer with a single number.,20 NIO,Reciprocation 20,21,female,Nicaragua
180041bf-7e26-42ef-aa16-0cd0a0f578e3,5a6f87a5bbcc1a816d6bde17d46abe72c45f808c9ece10b2b1584025e2144d06,Imagine someone did you a favor that cost them 20 NIO. How much would you be willing to spend to return the favor? Please answer with a single number.,20 NIO,Reciprocation 20,21,female,Nicaragua
