Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
f7ac5cbd-3839-459c-909f-bf91c235701e,85bb8721c516cdb3dfcf6e7b94722df7b52c5b26ce5675f1262fc07c93f3a908,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,39,male,Bosnia
f7ac5cbd-3839-459c-909f-bf91c235701e,85bb8721c516cdb3dfcf6e7b94722df7b52c5b26ce5675f1262fc07c93f3a908,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,39,male,Bosnia
f7ac5cbd-3839-459c-909f-bf91c235701e,85bb8721c516cdb3dfcf6e7b94722df7b52c5b26ce5675f1262fc07c93f3a908,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,39,male,Bosnia
f7ac5cbd-3839-459c-909f-bf91c235701e,85bb8721c516cdb3dfcf6e7b94722df7b52c5b26ce5675f1262fc07c93f3a908,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,39,male,Bosnia
f7ac5cbd-3839-459c-909f-bf91c235701e,85bb8721c516cdb3dfcf6e7b94722df7b52c5b26ce5675f1262fc07c93f3a908,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,39,male,Bosnia
f7ac5cbd-3839-459c-909f-bf91c235701e,85bb8721c516cdb3dfcf6e7b94722df7b52c5b26ce5675f1262fc07c93f3a908,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,39,male,Bosnia
f7ac5cbd-3839-459c-909f-bf91c235701e,85bb8721c516cdb3dfcf6e7b94722df7b52c5b26ce5675f1262fc07c93f3a908,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,39,male,Bosnia
f7ac5cbd-3839-459c-909f-bf91c235701e,85bb8721c516cdb3dfcf6e7b94722df7b52c5b26ce5675f1262fc07c93f3a908,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,39,male,Bosnia
f7ac5cbd-3839-459c-909f-bf91c235701e,85bb8721c516cdb3dfcf6e7b94722df7b52c5b26ce5675f1262fc07c93f3a908,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,39,male,Bosnia
f7ac5cbd-3839-459c-909f-bf91c235701e,85bb8721c516cdb3dfcf6e7b94722df7b52c5b26ce5675f1262fc07c93f3a908,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,39,male,Bosnia
