Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
cc00dd78-5744-49a4-bcc4-1742adff91cf,158c2d7ee19a7c08e69fdd88b5954c04047e6fe306bbf96c62082660891afdf8,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.","I would say I'm about a 4. I prefer to be cautious, especially at my age, but I can take some calculated risks if I feel confident about the outcome.",Willingness to take risk,80,male,Mexico
cc00dd78-5744-49a4-bcc4-1742adff91cf,158c2d7ee19a7c08e69fdd88b5954c04047e6fe306bbf96c62082660891afdf8,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,80,male,Mexico
cc00dd78-5744-49a4-bcc4-1742adff91cf,158c2d7ee19a7c08e69fdd88b5954c04047e6fe306bbf96c62082660891afdf8,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,80,male,Mexico
cc00dd78-5744-49a4-bcc4-1742adff91cf,158c2d7ee19a7c08e69fdd88b5954c04047e6fe306bbf96c62082660891afdf8,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,80,male,Mexico
cc00dd78-5744-49a4-bcc4-1742adff91cf,158c2d7ee19a7c08e69fdd88b5954c04047e6fe306bbf96c62082660891afdf8,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",9,Willingness to donate,80,male,Mexico
cc00dd78-5744-49a4-bcc4-1742adff91cf,158c2d7ee19a7c08e69fdd88b5954c04047e6fe306bbf96c62082660891afdf8,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",9,Will return favor,80,male,Mexico
cc00dd78-5744-49a4-bcc4-1742adff91cf,158c2d7ee19a7c08e69fdd88b5954c04047e6fe306bbf96c62082660891afdf8,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",2,Will do revenge,80,male,Mexico
cc00dd78-5744-49a4-bcc4-1742adff91cf,158c2d7ee19a7c08e69fdd88b5954c04047e6fe306bbf96c62082660891afdf8,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,80,male,Mexico
cc00dd78-5744-49a4-bcc4-1742adff91cf,158c2d7ee19a7c08e69fdd88b5954c04047e6fe306bbf96c62082660891afdf8,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,4,Good at math,80,male,Mexico
cc00dd78-5744-49a4-bcc4-1742adff91cf,158c2d7ee19a7c08e69fdd88b5954c04047e6fe306bbf96c62082660891afdf8,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,80,male,Mexico
