Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
564d226e-4242-4a60-8bb2-582c296eeeee,dca578dcaf4c578bfa326858ab068b12c00ecead501d0be0d10345f3a16b26d5,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I'd rate my willingness to take risks at a 6.,Willingness to take risk,39,female,South Africa
564d226e-4242-4a60-8bb2-582c296eeeee,dca578dcaf4c578bfa326858ab068b12c00ecead501d0be0d10345f3a16b26d5,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,39,female,South Africa
564d226e-4242-4a60-8bb2-582c296eeeee,dca578dcaf4c578bfa326858ab068b12c00ecead501d0be0d10345f3a16b26d5,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,39,female,South Africa
564d226e-4242-4a60-8bb2-582c296eeeee,dca578dcaf4c578bfa326858ab068b12c00ecead501d0be0d10345f3a16b26d5,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,39,female,South Africa
564d226e-4242-4a60-8bb2-582c296eeeee,dca578dcaf4c578bfa326858ab068b12c00ecead501d0be0d10345f3a16b26d5,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,39,female,South Africa
564d226e-4242-4a60-8bb2-582c296eeeee,dca578dcaf4c578bfa326858ab068b12c00ecead501d0be0d10345f3a16b26d5,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",9,Will return favor,39,female,South Africa
564d226e-4242-4a60-8bb2-582c296eeeee,dca578dcaf4c578bfa326858ab068b12c00ecead501d0be0d10345f3a16b26d5,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,39,female,South Africa
564d226e-4242-4a60-8bb2-582c296eeeee,dca578dcaf4c578bfa326858ab068b12c00ecead501d0be0d10345f3a16b26d5,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,39,female,South Africa
564d226e-4242-4a60-8bb2-582c296eeeee,dca578dcaf4c578bfa326858ab068b12c00ecead501d0be0d10345f3a16b26d5,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,39,female,South Africa
564d226e-4242-4a60-8bb2-582c296eeeee,dca578dcaf4c578bfa326858ab068b12c00ecead501d0be0d10345f3a16b26d5,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,39,female,South Africa
564d226e-4242-4a60-8bb2-582c296eeeee,dca578dcaf4c578bfa326858ab068b12c00ecead501d0be0d10345f3a16b26d5,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,39,female,South Africa
564d226e-4242-4a60-8bb2-582c296eeeee,dca578dcaf4c578bfa326858ab068b12c00ecead501d0be0d10345f3a16b26d5,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,39,female,South Africa
564d226e-4242-4a60-8bb2-582c296eeeee,dca578dcaf4c578bfa326858ab068b12c00ecead501d0be0d10345f3a16b26d5,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 ZAR and the same 50-percent chance of receiving nothing, OR Option 2: 10 ZAR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 10,39,female,South Africa
564d226e-4242-4a60-8bb2-582c296eeeee,dca578dcaf4c578bfa326858ab068b12c00ecead501d0be0d10345f3a16b26d5,What would you prefer? Option 1: A payment of 100 ZAR today OR Option 2: 103.0 ZAR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 103.0,39,female,South Africa
564d226e-4242-4a60-8bb2-582c296eeeee,dca578dcaf4c578bfa326858ab068b12c00ecead501d0be0d10345f3a16b26d5,What would you prefer? Option 1: A payment of 100 ZAR today OR Option 2: 106.1 ZAR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 106.1,39,female,South Africa
564d226e-4242-4a60-8bb2-582c296eeeee,dca578dcaf4c578bfa326858ab068b12c00ecead501d0be0d10345f3a16b26d5,Imagine someone did you a favor that cost them 4 ZAR. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 6 ZAR to return the favor.,Reciprocation 4,39,female,South Africa
564d226e-4242-4a60-8bb2-582c296eeeee,dca578dcaf4c578bfa326858ab068b12c00ecead501d0be0d10345f3a16b26d5,Imagine someone did you a favor that cost them 8 ZAR. How much would you be willing to spend to return the favor? Please answer with a single number.,10 ZAR,Reciprocation 8,39,female,South Africa
564d226e-4242-4a60-8bb2-582c296eeeee,dca578dcaf4c578bfa326858ab068b12c00ecead501d0be0d10345f3a16b26d5,Imagine someone did you a favor that cost them 12 ZAR. How much would you be willing to spend to return the favor? Please answer with a single number.,12,Reciprocation 12,39,female,South Africa
564d226e-4242-4a60-8bb2-582c296eeeee,dca578dcaf4c578bfa326858ab068b12c00ecead501d0be0d10345f3a16b26d5,Imagine someone did you a favor that cost them 16 ZAR. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 16,39,female,South Africa
564d226e-4242-4a60-8bb2-582c296eeeee,dca578dcaf4c578bfa326858ab068b12c00ecead501d0be0d10345f3a16b26d5,Imagine someone did you a favor that cost them 16 ZAR. How much would you be willing to spend to return the favor? Please answer with a single number.,20 ZAR,Reciprocation 16,39,female,South Africa
564d226e-4242-4a60-8bb2-582c296eeeee,dca578dcaf4c578bfa326858ab068b12c00ecead501d0be0d10345f3a16b26d5,Imagine someone did you a favor that cost them 20 ZAR. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 30 ZAR to return the favor.,Reciprocation 20,39,female,South Africa
564d226e-4242-4a60-8bb2-582c296eeeee,dca578dcaf4c578bfa326858ab068b12c00ecead501d0be0d10345f3a16b26d5,Imagine someone did you a favor that cost them 24 ZAR. How much would you be willing to spend to return the favor? Please answer with a single number.,24,Reciprocation 24,39,female,South Africa
564d226e-4242-4a60-8bb2-582c296eeeee,dca578dcaf4c578bfa326858ab068b12c00ecead501d0be0d10345f3a16b26d5,You unexpectedly received 800.0 ZAR. How much of this amount would you donate to a good cause? Please answer with a single number.,200,Donation 800.0,39,female,South Africa
8ffaf499-14e4-4ce2-bccc-6680630b685f,65c1358fdb8050977697171fa1c6d7ba239ac25e0443358aaadfb4194d969b08,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",7,Willingness to take risk,19,male,South Africa
8ffaf499-14e4-4ce2-bccc-6680630b685f,65c1358fdb8050977697171fa1c6d7ba239ac25e0443358aaadfb4194d969b08,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,19,male,South Africa
8ffaf499-14e4-4ce2-bccc-6680630b685f,65c1358fdb8050977697171fa1c6d7ba239ac25e0443358aaadfb4194d969b08,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,19,male,South Africa
8ffaf499-14e4-4ce2-bccc-6680630b685f,65c1358fdb8050977697171fa1c6d7ba239ac25e0443358aaadfb4194d969b08,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,19,male,South Africa
8ffaf499-14e4-4ce2-bccc-6680630b685f,65c1358fdb8050977697171fa1c6d7ba239ac25e0443358aaadfb4194d969b08,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,19,male,South Africa
8ffaf499-14e4-4ce2-bccc-6680630b685f,65c1358fdb8050977697171fa1c6d7ba239ac25e0443358aaadfb4194d969b08,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,19,male,South Africa
8ffaf499-14e4-4ce2-bccc-6680630b685f,65c1358fdb8050977697171fa1c6d7ba239ac25e0443358aaadfb4194d969b08,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",5,Will do revenge,19,male,South Africa
