Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
9d17bee3-d5fa-48e0-8d60-4f87da242a90,835eeb21a54b62f39f448eae42d5572f53cdea6222e145ca79465af9decd9cbe,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,43,male,Venezuela
9d17bee3-d5fa-48e0-8d60-4f87da242a90,835eeb21a54b62f39f448eae42d5572f53cdea6222e145ca79465af9decd9cbe,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,43,male,Venezuela
9d17bee3-d5fa-48e0-8d60-4f87da242a90,835eeb21a54b62f39f448eae42d5572f53cdea6222e145ca79465af9decd9cbe,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,43,male,Venezuela
9d17bee3-d5fa-48e0-8d60-4f87da242a90,835eeb21a54b62f39f448eae42d5572f53cdea6222e145ca79465af9decd9cbe,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,43,male,Venezuela
9d17bee3-d5fa-48e0-8d60-4f87da242a90,835eeb21a54b62f39f448eae42d5572f53cdea6222e145ca79465af9decd9cbe,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,43,male,Venezuela
9d17bee3-d5fa-48e0-8d60-4f87da242a90,835eeb21a54b62f39f448eae42d5572f53cdea6222e145ca79465af9decd9cbe,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,43,male,Venezuela
9d17bee3-d5fa-48e0-8d60-4f87da242a90,835eeb21a54b62f39f448eae42d5572f53cdea6222e145ca79465af9decd9cbe,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",7,Will do revenge,43,male,Venezuela
9d17bee3-d5fa-48e0-8d60-4f87da242a90,835eeb21a54b62f39f448eae42d5572f53cdea6222e145ca79465af9decd9cbe,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,43,male,Venezuela
9d17bee3-d5fa-48e0-8d60-4f87da242a90,835eeb21a54b62f39f448eae42d5572f53cdea6222e145ca79465af9decd9cbe,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,43,male,Venezuela
9d17bee3-d5fa-48e0-8d60-4f87da242a90,835eeb21a54b62f39f448eae42d5572f53cdea6222e145ca79465af9decd9cbe,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,43,male,Venezuela
9d17bee3-d5fa-48e0-8d60-4f87da242a90,835eeb21a54b62f39f448eae42d5572f53cdea6222e145ca79465af9decd9cbe,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,43,male,Venezuela
9d17bee3-d5fa-48e0-8d60-4f87da242a90,835eeb21a54b62f39f448eae42d5572f53cdea6222e145ca79465af9decd9cbe,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,43,male,Venezuela
9d17bee3-d5fa-48e0-8d60-4f87da242a90,835eeb21a54b62f39f448eae42d5572f53cdea6222e145ca79465af9decd9cbe,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 VES and the same 50-percent chance of receiving nothing, OR Option 2: 5 VES as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 5,43,male,Venezuela
9d17bee3-d5fa-48e0-8d60-4f87da242a90,835eeb21a54b62f39f448eae42d5572f53cdea6222e145ca79465af9decd9cbe,What would you prefer? Option 1: A payment of 100 VES today OR Option 2: 103.0 VES in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 103.0,43,male,Venezuela
9d17bee3-d5fa-48e0-8d60-4f87da242a90,835eeb21a54b62f39f448eae42d5572f53cdea6222e145ca79465af9decd9cbe,What would you prefer? Option 1: A payment of 100 VES today OR Option 2: 106.1 VES in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 106.1,43,male,Venezuela
9d17bee3-d5fa-48e0-8d60-4f87da242a90,835eeb21a54b62f39f448eae42d5572f53cdea6222e145ca79465af9decd9cbe,What would you prefer? Option 1: A payment of 100 VES today OR Option 2: 109.2 VES in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 109.2,43,male,Venezuela
9d17bee3-d5fa-48e0-8d60-4f87da242a90,835eeb21a54b62f39f448eae42d5572f53cdea6222e145ca79465af9decd9cbe,Imagine someone did you a favor that cost them 3 VES. How much would you be willing to spend to return the favor? Please answer with a single number.,3 VES,Reciprocation 3,43,male,Venezuela
9d17bee3-d5fa-48e0-8d60-4f87da242a90,835eeb21a54b62f39f448eae42d5572f53cdea6222e145ca79465af9decd9cbe,Imagine someone did you a favor that cost them 6 VES. How much would you be willing to spend to return the favor? Please answer with a single number.,6,Reciprocation 6,43,male,Venezuela
9d17bee3-d5fa-48e0-8d60-4f87da242a90,835eeb21a54b62f39f448eae42d5572f53cdea6222e145ca79465af9decd9cbe,Imagine someone did you a favor that cost them 9 VES. How much would you be willing to spend to return the favor? Please answer with a single number.,9,Reciprocation 9,43,male,Venezuela
9d17bee3-d5fa-48e0-8d60-4f87da242a90,835eeb21a54b62f39f448eae42d5572f53cdea6222e145ca79465af9decd9cbe,Imagine someone did you a favor that cost them 12 VES. How much would you be willing to spend to return the favor? Please answer with a single number.,12,Reciprocation 12,43,male,Venezuela
9d17bee3-d5fa-48e0-8d60-4f87da242a90,835eeb21a54b62f39f448eae42d5572f53cdea6222e145ca79465af9decd9cbe,Imagine someone did you a favor that cost them 12 VES. How much would you be willing to spend to return the favor? Please answer with a single number.,12,Reciprocation 12,43,male,Venezuela
