Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
38712b8d-326c-479b-9e51-c9f8676288da,3645ae909b095ba37b192651b63778d8d260e3c650357e4d966e25a8b5cbb435,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,34,male,Canada
38712b8d-326c-479b-9e51-c9f8676288da,3645ae909b095ba37b192651b63778d8d260e3c650357e4d966e25a8b5cbb435,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,34,male,Canada
38712b8d-326c-479b-9e51-c9f8676288da,3645ae909b095ba37b192651b63778d8d260e3c650357e4d966e25a8b5cbb435,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,34,male,Canada
38712b8d-326c-479b-9e51-c9f8676288da,3645ae909b095ba37b192651b63778d8d260e3c650357e4d966e25a8b5cbb435,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,34,male,Canada
38712b8d-326c-479b-9e51-c9f8676288da,3645ae909b095ba37b192651b63778d8d260e3c650357e4d966e25a8b5cbb435,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,34,male,Canada
38712b8d-326c-479b-9e51-c9f8676288da,3645ae909b095ba37b192651b63778d8d260e3c650357e4d966e25a8b5cbb435,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,34,male,Canada
38712b8d-326c-479b-9e51-c9f8676288da,3645ae909b095ba37b192651b63778d8d260e3c650357e4d966e25a8b5cbb435,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,34,male,Canada
38712b8d-326c-479b-9e51-c9f8676288da,3645ae909b095ba37b192651b63778d8d260e3c650357e4d966e25a8b5cbb435,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,34,male,Canada
38712b8d-326c-479b-9e51-c9f8676288da,3645ae909b095ba37b192651b63778d8d260e3c650357e4d966e25a8b5cbb435,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,34,male,Canada
38712b8d-326c-479b-9e51-c9f8676288da,3645ae909b095ba37b192651b63778d8d260e3c650357e4d966e25a8b5cbb435,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,34,male,Canada
38712b8d-326c-479b-9e51-c9f8676288da,3645ae909b095ba37b192651b63778d8d260e3c650357e4d966e25a8b5cbb435,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,34,male,Canada
38712b8d-326c-479b-9e51-c9f8676288da,3645ae909b095ba37b192651b63778d8d260e3c650357e4d966e25a8b5cbb435,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,34,male,Canada
38712b8d-326c-479b-9e51-c9f8676288da,3645ae909b095ba37b192651b63778d8d260e3c650357e4d966e25a8b5cbb435,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 600 CAD and the same 50-percent chance of receiving nothing, OR Option 2: 20 CAD as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 20,34,male,Canada
38712b8d-326c-479b-9e51-c9f8676288da,3645ae909b095ba37b192651b63778d8d260e3c650357e4d966e25a8b5cbb435,What would you prefer? Option 1: A payment of 200 CAD today OR Option 2: 206.0 CAD in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 206.0,34,male,Canada
38712b8d-326c-479b-9e51-c9f8676288da,3645ae909b095ba37b192651b63778d8d260e3c650357e4d966e25a8b5cbb435,What would you prefer? Option 1: A payment of 200 CAD today OR Option 2: 212.2 CAD in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 212.2,34,male,Canada
38712b8d-326c-479b-9e51-c9f8676288da,3645ae909b095ba37b192651b63778d8d260e3c650357e4d966e25a8b5cbb435,What would you prefer? Option 1: A payment of 200 CAD today OR Option 2: 218.4 CAD in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 218.4,34,male,Canada
38712b8d-326c-479b-9e51-c9f8676288da,3645ae909b095ba37b192651b63778d8d260e3c650357e4d966e25a8b5cbb435,Imagine someone did you a favor that cost them 10 CAD. How much would you be willing to spend to return the favor? Please answer with a single number.,15,Reciprocation 10,34,male,Canada
38712b8d-326c-479b-9e51-c9f8676288da,3645ae909b095ba37b192651b63778d8d260e3c650357e4d966e25a8b5cbb435,Imagine someone did you a favor that cost them 20 CAD. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 20,34,male,Canada
38712b8d-326c-479b-9e51-c9f8676288da,3645ae909b095ba37b192651b63778d8d260e3c650357e4d966e25a8b5cbb435,Imagine someone did you a favor that cost them 30 CAD. How much would you be willing to spend to return the favor? Please answer with a single number.,45,Reciprocation 30,34,male,Canada
