Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
71c95056-093c-4070-a945-3f2569117329,8300a46c457b3875f979603d2340a5e2c00693045e8bcdf7b836a4b358668042,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.","I would say a 4. At my age, I prefer to be cautious with risks, but I understand that some level of risk can be necessary for potential rewards.",Willingness to take risk,80,male,Lithuania
71c95056-093c-4070-a945-3f2569117329,8300a46c457b3875f979603d2340a5e2c00693045e8bcdf7b836a4b358668042,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,80,male,Lithuania
71c95056-093c-4070-a945-3f2569117329,8300a46c457b3875f979603d2340a5e2c00693045e8bcdf7b836a4b358668042,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,80,male,Lithuania
71c95056-093c-4070-a945-3f2569117329,8300a46c457b3875f979603d2340a5e2c00693045e8bcdf7b836a4b358668042,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,80,male,Lithuania
71c95056-093c-4070-a945-3f2569117329,8300a46c457b3875f979603d2340a5e2c00693045e8bcdf7b836a4b358668042,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,80,male,Lithuania
71c95056-093c-4070-a945-3f2569117329,8300a46c457b3875f979603d2340a5e2c00693045e8bcdf7b836a4b358668042,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",9,Will return favor,80,male,Lithuania
71c95056-093c-4070-a945-3f2569117329,8300a46c457b3875f979603d2340a5e2c00693045e8bcdf7b836a4b358668042,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,80,male,Lithuania
71c95056-093c-4070-a945-3f2569117329,8300a46c457b3875f979603d2340a5e2c00693045e8bcdf7b836a4b358668042,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,7,People have best intentions,80,male,Lithuania
71c95056-093c-4070-a945-3f2569117329,8300a46c457b3875f979603d2340a5e2c00693045e8bcdf7b836a4b358668042,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,5,Good at math,80,male,Lithuania
71c95056-093c-4070-a945-3f2569117329,8300a46c457b3875f979603d2340a5e2c00693045e8bcdf7b836a4b358668042,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,80,male,Lithuania
