Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
1b0865d0-ff36-4dec-a4f7-2832abd96af7,88564d1c969c977707965bf33286bf4278b0609c8aa1bd04132b27ef84ad4cd7,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would say 6.,Willingness to take risk,48,female,Czech Republic
1b0865d0-ff36-4dec-a4f7-2832abd96af7,88564d1c969c977707965bf33286bf4278b0609c8aa1bd04132b27ef84ad4cd7,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,48,female,Czech Republic
1b0865d0-ff36-4dec-a4f7-2832abd96af7,88564d1c969c977707965bf33286bf4278b0609c8aa1bd04132b27ef84ad4cd7,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,48,female,Czech Republic
1b0865d0-ff36-4dec-a4f7-2832abd96af7,88564d1c969c977707965bf33286bf4278b0609c8aa1bd04132b27ef84ad4cd7,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,48,female,Czech Republic
1b0865d0-ff36-4dec-a4f7-2832abd96af7,88564d1c969c977707965bf33286bf4278b0609c8aa1bd04132b27ef84ad4cd7,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to donate,48,female,Czech Republic
1b0865d0-ff36-4dec-a4f7-2832abd96af7,88564d1c969c977707965bf33286bf4278b0609c8aa1bd04132b27ef84ad4cd7,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,48,female,Czech Republic
1b0865d0-ff36-4dec-a4f7-2832abd96af7,88564d1c969c977707965bf33286bf4278b0609c8aa1bd04132b27ef84ad4cd7,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,48,female,Czech Republic
1b0865d0-ff36-4dec-a4f7-2832abd96af7,88564d1c969c977707965bf33286bf4278b0609c8aa1bd04132b27ef84ad4cd7,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,48,female,Czech Republic
1b0865d0-ff36-4dec-a4f7-2832abd96af7,88564d1c969c977707965bf33286bf4278b0609c8aa1bd04132b27ef84ad4cd7,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,48,female,Czech Republic
1b0865d0-ff36-4dec-a4f7-2832abd96af7,88564d1c969c977707965bf33286bf4278b0609c8aa1bd04132b27ef84ad4cd7,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,48,female,Czech Republic
1b0865d0-ff36-4dec-a4f7-2832abd96af7,88564d1c969c977707965bf33286bf4278b0609c8aa1bd04132b27ef84ad4cd7,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,48,female,Czech Republic
1b0865d0-ff36-4dec-a4f7-2832abd96af7,88564d1c969c977707965bf33286bf4278b0609c8aa1bd04132b27ef84ad4cd7,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,48,female,Czech Republic
1b0865d0-ff36-4dec-a4f7-2832abd96af7,88564d1c969c977707965bf33286bf4278b0609c8aa1bd04132b27ef84ad4cd7,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 3000 CZK and the same 50-percent chance of receiving nothing, OR Option 2: 100 CZK as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 100,48,female,Czech Republic
1b0865d0-ff36-4dec-a4f7-2832abd96af7,88564d1c969c977707965bf33286bf4278b0609c8aa1bd04132b27ef84ad4cd7,What would you prefer? Option 1: A payment of 1000 CZK today OR Option 2: 1030.0 CZK in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 1030.0,48,female,Czech Republic
1b0865d0-ff36-4dec-a4f7-2832abd96af7,88564d1c969c977707965bf33286bf4278b0609c8aa1bd04132b27ef84ad4cd7,Imagine someone did you a favor that cost them 50 CZK. How much would you be willing to spend to return the favor? Please answer with a single number.,50,Reciprocation 50,48,female,Czech Republic
1b0865d0-ff36-4dec-a4f7-2832abd96af7,88564d1c969c977707965bf33286bf4278b0609c8aa1bd04132b27ef84ad4cd7,Imagine someone did you a favor that cost them 100 CZK. How much would you be willing to spend to return the favor? Please answer with a single number.,100 CZK,Reciprocation 100,48,female,Czech Republic
1b0865d0-ff36-4dec-a4f7-2832abd96af7,88564d1c969c977707965bf33286bf4278b0609c8aa1bd04132b27ef84ad4cd7,Imagine someone did you a favor that cost them 150 CZK. How much would you be willing to spend to return the favor? Please answer with a single number.,150,Reciprocation 150,48,female,Czech Republic
1b0865d0-ff36-4dec-a4f7-2832abd96af7,88564d1c969c977707965bf33286bf4278b0609c8aa1bd04132b27ef84ad4cd7,Imagine someone did you a favor that cost them 200 CZK. How much would you be willing to spend to return the favor? Please answer with a single number.,200,Reciprocation 200,48,female,Czech Republic
1b0865d0-ff36-4dec-a4f7-2832abd96af7,88564d1c969c977707965bf33286bf4278b0609c8aa1bd04132b27ef84ad4cd7,Imagine someone did you a favor that cost them 200 CZK. How much would you be willing to spend to return the favor? Please answer with a single number.,200,Reciprocation 200,48,female,Czech Republic
1b0865d0-ff36-4dec-a4f7-2832abd96af7,88564d1c969c977707965bf33286bf4278b0609c8aa1bd04132b27ef84ad4cd7,Imagine someone did you a favor that cost them 250 CZK. How much would you be willing to spend to return the favor? Please answer with a single number.,200 CZK,Reciprocation 250,48,female,Czech Republic
1b0865d0-ff36-4dec-a4f7-2832abd96af7,88564d1c969c977707965bf33286bf4278b0609c8aa1bd04132b27ef84ad4cd7,Imagine someone did you a favor that cost them 300 CZK. How much would you be willing to spend to return the favor? Please answer with a single number.,300 CZK,Reciprocation 300,48,female,Czech Republic
1b0865d0-ff36-4dec-a4f7-2832abd96af7,88564d1c969c977707965bf33286bf4278b0609c8aa1bd04132b27ef84ad4cd7,You unexpectedly received 12000.0 CZK. How much of this amount would you donate to a good cause? Please answer with a single number.,2000.0,Donation 12000.0,48,female,Czech Republic
fa33393e-5384-4e9b-9f18-8afaf0431a7d,9eb6396ab98262bca35ed1dd664a91efa29eac48a3cf67ec599645869ad2f06f,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,44,male,Czech Republic
fa33393e-5384-4e9b-9f18-8afaf0431a7d,9eb6396ab98262bca35ed1dd664a91efa29eac48a3cf67ec599645869ad2f06f,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,44,male,Czech Republic
fa33393e-5384-4e9b-9f18-8afaf0431a7d,9eb6396ab98262bca35ed1dd664a91efa29eac48a3cf67ec599645869ad2f06f,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,44,male,Czech Republic
fa33393e-5384-4e9b-9f18-8afaf0431a7d,9eb6396ab98262bca35ed1dd664a91efa29eac48a3cf67ec599645869ad2f06f,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,44,male,Czech Republic
fa33393e-5384-4e9b-9f18-8afaf0431a7d,9eb6396ab98262bca35ed1dd664a91efa29eac48a3cf67ec599645869ad2f06f,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,44,male,Czech Republic
fa33393e-5384-4e9b-9f18-8afaf0431a7d,9eb6396ab98262bca35ed1dd664a91efa29eac48a3cf67ec599645869ad2f06f,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,44,male,Czech Republic
fa33393e-5384-4e9b-9f18-8afaf0431a7d,9eb6396ab98262bca35ed1dd664a91efa29eac48a3cf67ec599645869ad2f06f,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,44,male,Czech Republic
fa33393e-5384-4e9b-9f18-8afaf0431a7d,9eb6396ab98262bca35ed1dd664a91efa29eac48a3cf67ec599645869ad2f06f,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,44,male,Czech Republic
