Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",5,Will do revenge,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",20,Present giving,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",800,Donate,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1200 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 40 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 40,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1200 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 80 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 80,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1200 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 120 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 120,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1200 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 160 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 160,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1200 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 200 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 200,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,What would you prefer? Option 1: A payment of 400 EUR today OR Option 2: 412.0 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 412.0,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,What would you prefer? Option 1: A payment of 400 EUR today OR Option 2: 424.4 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 424.4,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,What would you prefer? Option 1: A payment of 400 EUR today OR Option 2: 436.8 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 436.8,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,Imagine someone did you a favor that cost them 20 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 20,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,Imagine someone did you a favor that cost them 40 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,40,Reciprocation 40,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,Imagine someone did you a favor that cost them 60 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,70,Reciprocation 60,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,Imagine someone did you a favor that cost them 80 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,80,Reciprocation 80,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,Imagine someone did you a favor that cost them 80 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,80,Reciprocation 80,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,Imagine someone did you a favor that cost them 100 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,80,Reciprocation 100,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,Imagine someone did you a favor that cost them 120 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 80 EUR to return the favor.,Reciprocation 120,49,male,Estonia
d5814ba8-4f64-4ce1-8739-798dc42d46f6,dedf11c3548b5bd0eb4726a6c212e94a44a226ab0f400671f088aaec2d54ff10,You unexpectedly received 4000.0 EUR. How much of this amount would you donate to a good cause? Please answer with a single number.,1000.0,Donation 4000.0,49,male,Estonia
1f423b03-ec55-4361-9c13-9bf84e10396f,a5e20544893fb2c44746b949993c7f0e7272ad34f368c337b1dd5a531a91eb10,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,30,female,Estonia
1f423b03-ec55-4361-9c13-9bf84e10396f,a5e20544893fb2c44746b949993c7f0e7272ad34f368c337b1dd5a531a91eb10,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,30,female,Estonia
1f423b03-ec55-4361-9c13-9bf84e10396f,a5e20544893fb2c44746b949993c7f0e7272ad34f368c337b1dd5a531a91eb10,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,30,female,Estonia
