Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks at a 6.,Willingness to take risk,52,female,Israel
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,52,female,Israel
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,52,female,Israel
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,52,female,Israel
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,52,female,Israel
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,52,female,Israel
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,52,female,Israel
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,52,female,Israel
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,52,female,Israel
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,52,female,Israel
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,52,female,Israel
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,52,female,Israel
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1200 ILS and the same 50-percent chance of receiving nothing, OR Option 2: 40 ILS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0,Risk 40,52,female,Israel
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,What would you prefer? Option 1: A payment of 400 ILS today OR Option 2: 412.0 ILS in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 412.0,52,female,Israel
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,What would you prefer? Option 1: A payment of 400 ILS today OR Option 2: 424.4 ILS in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 424.4,52,female,Israel
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,What would you prefer? Option 1: A payment of 400 ILS today OR Option 2: 436.8 ILS in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 436.8,52,female,Israel
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,What would you prefer? Option 1: A payment of 400 ILS today OR Option 2: 449.6 ILS in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 449.6,52,female,Israel
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,What would you prefer? Option 1: A payment of 400 ILS today OR Option 2: 462.4 ILS in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 462.4,52,female,Israel
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,What would you prefer? Option 1: A payment of 400 ILS today OR Option 2: 475.2 ILS in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 475.2,52,female,Israel
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,What would you prefer? Option 1: A payment of 400 ILS today OR Option 2: 488.3999999999999 ILS in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 488.3999999999999,52,female,Israel
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,What would you prefer? Option 1: A payment of 400 ILS today OR Option 2: 501.6 ILS in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 501.6,52,female,Israel
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,What would you prefer? Option 1: A payment of 400 ILS today OR Option 2: 515.2 ILS in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,8,Delay 515.2,52,female,Israel
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,Imagine someone did you a favor that cost them 20 ILS. How much would you be willing to spend to return the favor? Please answer with a single number.,30.0,Reciprocation 20,52,female,Israel
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,Imagine someone did you a favor that cost them 40 ILS. How much would you be willing to spend to return the favor? Please answer with a single number.,40.0,Reciprocation 40,52,female,Israel
034cdc35-4728-4c27-b99b-62f29d4448cb,8584c0bc90bbcb02c4f878d7a3740149fcb65a515f6e82e23b9db2e5045457cf,Imagine someone did you a favor that cost them 60 ILS. How much would you be willing to spend to return the favor? Please answer with a single number.,60.0,Reciprocation 60,52,female,Israel
