Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks at a 6.,Willingness to take risk,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",5,Will do revenge,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 5 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 5,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 10 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",1,Risk 10,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 103.0 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 103.0,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 106.1 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 106.1,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 109.2 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 109.2,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 112.4 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 112.4,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 115.6 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 115.6,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 118.8 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 118.8,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 122.09999999999998 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,6,Delay 122.09999999999998,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,Imagine someone did you a favor that cost them 3 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,5 EUR,Reciprocation 3,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,Imagine someone did you a favor that cost them 6 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,I'd be willing to spend 8 EUR to return the favor.,Reciprocation 6,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,Imagine someone did you a favor that cost them 9 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,12 EUR,Reciprocation 9,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,Imagine someone did you a favor that cost them 12 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 15 EUR to return the favor.,Reciprocation 12,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,Imagine someone did you a favor that cost them 12 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,12.0,Reciprocation 12,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,Imagine someone did you a favor that cost them 15 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,15.0,Reciprocation 15,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,Imagine someone did you a favor that cost them 18 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 20 EUR to return the favor.,Reciprocation 18,28,female,Lithuania
de214f7d-8c21-4be5-a07e-c8cc556db31c,fc15930811baa3650948b42cb8c1a46a19492d04d2467f605c414ee41e08c250,You unexpectedly received 600.0 EUR. How much of this amount would you donate to a good cause? Please answer with a single number.,100.0,Donation 600.0,28,female,Lithuania
3dd9bbfc-0184-4542-b4b6-3c8ab6f1a8f2,5392823b7d2845271d2729f3782b3ffb0de86fba6284163b16db1c2d82050d39,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 5.,Willingness to take risk,19,male,Lithuania
3dd9bbfc-0184-4542-b4b6-3c8ab6f1a8f2,5392823b7d2845271d2729f3782b3ffb0de86fba6284163b16db1c2d82050d39,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,19,male,Lithuania
3dd9bbfc-0184-4542-b4b6-3c8ab6f1a8f2,5392823b7d2845271d2729f3782b3ffb0de86fba6284163b16db1c2d82050d39,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,19,male,Lithuania
3dd9bbfc-0184-4542-b4b6-3c8ab6f1a8f2,5392823b7d2845271d2729f3782b3ffb0de86fba6284163b16db1c2d82050d39,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,19,male,Lithuania
3dd9bbfc-0184-4542-b4b6-3c8ab6f1a8f2,5392823b7d2845271d2729f3782b3ffb0de86fba6284163b16db1c2d82050d39,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,19,male,Lithuania
3dd9bbfc-0184-4542-b4b6-3c8ab6f1a8f2,5392823b7d2845271d2729f3782b3ffb0de86fba6284163b16db1c2d82050d39,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,19,male,Lithuania
3dd9bbfc-0184-4542-b4b6-3c8ab6f1a8f2,5392823b7d2845271d2729f3782b3ffb0de86fba6284163b16db1c2d82050d39,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,19,male,Lithuania
3dd9bbfc-0184-4542-b4b6-3c8ab6f1a8f2,5392823b7d2845271d2729f3782b3ffb0de86fba6284163b16db1c2d82050d39,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,19,male,Lithuania
3dd9bbfc-0184-4542-b4b6-3c8ab6f1a8f2,5392823b7d2845271d2729f3782b3ffb0de86fba6284163b16db1c2d82050d39,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,19,male,Lithuania
3dd9bbfc-0184-4542-b4b6-3c8ab6f1a8f2,5392823b7d2845271d2729f3782b3ffb0de86fba6284163b16db1c2d82050d39,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,19,male,Lithuania
3dd9bbfc-0184-4542-b4b6-3c8ab6f1a8f2,5392823b7d2845271d2729f3782b3ffb0de86fba6284163b16db1c2d82050d39,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,19,male,Lithuania
3dd9bbfc-0184-4542-b4b6-3c8ab6f1a8f2,5392823b7d2845271d2729f3782b3ffb0de86fba6284163b16db1c2d82050d39,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,19,male,Lithuania
3dd9bbfc-0184-4542-b4b6-3c8ab6f1a8f2,5392823b7d2845271d2729f3782b3ffb0de86fba6284163b16db1c2d82050d39,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 5 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 5,19,male,Lithuania
3dd9bbfc-0184-4542-b4b6-3c8ab6f1a8f2,5392823b7d2845271d2729f3782b3ffb0de86fba6284163b16db1c2d82050d39,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 10 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 10,19,male,Lithuania
3dd9bbfc-0184-4542-b4b6-3c8ab6f1a8f2,5392823b7d2845271d2729f3782b3ffb0de86fba6284163b16db1c2d82050d39,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 15 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 15,19,male,Lithuania
3dd9bbfc-0184-4542-b4b6-3c8ab6f1a8f2,5392823b7d2845271d2729f3782b3ffb0de86fba6284163b16db1c2d82050d39,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 20 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 20,19,male,Lithuania
3dd9bbfc-0184-4542-b4b6-3c8ab6f1a8f2,5392823b7d2845271d2729f3782b3ffb0de86fba6284163b16db1c2d82050d39,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 25 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 25,19,male,Lithuania
3dd9bbfc-0184-4542-b4b6-3c8ab6f1a8f2,5392823b7d2845271d2729f3782b3ffb0de86fba6284163b16db1c2d82050d39,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 30 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 30,19,male,Lithuania
3dd9bbfc-0184-4542-b4b6-3c8ab6f1a8f2,5392823b7d2845271d2729f3782b3ffb0de86fba6284163b16db1c2d82050d39,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 35 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",6,Risk 35,19,male,Lithuania
