Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
22a1e729-98dc-4329-9896-194af2356f35,8c843c5f80d81607ea5df2358e25dfed6b5a4fbce631bcbc909d6cb4aba443b3,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 5.,Willingness to take risk,60,male,Saudi Arabia
22a1e729-98dc-4329-9896-194af2356f35,8c843c5f80d81607ea5df2358e25dfed6b5a4fbce631bcbc909d6cb4aba443b3,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,60,male,Saudi Arabia
22a1e729-98dc-4329-9896-194af2356f35,8c843c5f80d81607ea5df2358e25dfed6b5a4fbce631bcbc909d6cb4aba443b3,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,60,male,Saudi Arabia
22a1e729-98dc-4329-9896-194af2356f35,8c843c5f80d81607ea5df2358e25dfed6b5a4fbce631bcbc909d6cb4aba443b3,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,60,male,Saudi Arabia
22a1e729-98dc-4329-9896-194af2356f35,8c843c5f80d81607ea5df2358e25dfed6b5a4fbce631bcbc909d6cb4aba443b3,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,60,male,Saudi Arabia
22a1e729-98dc-4329-9896-194af2356f35,8c843c5f80d81607ea5df2358e25dfed6b5a4fbce631bcbc909d6cb4aba443b3,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,60,male,Saudi Arabia
22a1e729-98dc-4329-9896-194af2356f35,8c843c5f80d81607ea5df2358e25dfed6b5a4fbce631bcbc909d6cb4aba443b3,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,60,male,Saudi Arabia
22a1e729-98dc-4329-9896-194af2356f35,8c843c5f80d81607ea5df2358e25dfed6b5a4fbce631bcbc909d6cb4aba443b3,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,60,male,Saudi Arabia
22a1e729-98dc-4329-9896-194af2356f35,8c843c5f80d81607ea5df2358e25dfed6b5a4fbce631bcbc909d6cb4aba443b3,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,5,Good at math,60,male,Saudi Arabia
22a1e729-98dc-4329-9896-194af2356f35,8c843c5f80d81607ea5df2358e25dfed6b5a4fbce631bcbc909d6cb4aba443b3,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,60,male,Saudi Arabia
22a1e729-98dc-4329-9896-194af2356f35,8c843c5f80d81607ea5df2358e25dfed6b5a4fbce631bcbc909d6cb4aba443b3,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,60,male,Saudi Arabia
22a1e729-98dc-4329-9896-194af2356f35,8c843c5f80d81607ea5df2358e25dfed6b5a4fbce631bcbc909d6cb4aba443b3,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",800,Donate,60,male,Saudi Arabia
22a1e729-98dc-4329-9896-194af2356f35,8c843c5f80d81607ea5df2358e25dfed6b5a4fbce631bcbc909d6cb4aba443b3,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 750 SAR and the same 50-percent chance of receiving nothing, OR Option 2: 25 SAR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0,Risk 25,60,male,Saudi Arabia
22a1e729-98dc-4329-9896-194af2356f35,8c843c5f80d81607ea5df2358e25dfed6b5a4fbce631bcbc909d6cb4aba443b3,What would you prefer? Option 1: A payment of 300 SAR today OR Option 2: 309.0 SAR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 309.0,60,male,Saudi Arabia
22a1e729-98dc-4329-9896-194af2356f35,8c843c5f80d81607ea5df2358e25dfed6b5a4fbce631bcbc909d6cb4aba443b3,What would you prefer? Option 1: A payment of 300 SAR today OR Option 2: 318.29999999999995 SAR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 318.29999999999995,60,male,Saudi Arabia
22a1e729-98dc-4329-9896-194af2356f35,8c843c5f80d81607ea5df2358e25dfed6b5a4fbce631bcbc909d6cb4aba443b3,What would you prefer? Option 1: A payment of 300 SAR today OR Option 2: 327.6 SAR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 327.6,60,male,Saudi Arabia
22a1e729-98dc-4329-9896-194af2356f35,8c843c5f80d81607ea5df2358e25dfed6b5a4fbce631bcbc909d6cb4aba443b3,What would you prefer? Option 1: A payment of 300 SAR today OR Option 2: 337.20000000000005 SAR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 337.20000000000005,60,male,Saudi Arabia
22a1e729-98dc-4329-9896-194af2356f35,8c843c5f80d81607ea5df2358e25dfed6b5a4fbce631bcbc909d6cb4aba443b3,What would you prefer? Option 1: A payment of 300 SAR today OR Option 2: 346.79999999999995 SAR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 346.79999999999995,60,male,Saudi Arabia
22a1e729-98dc-4329-9896-194af2356f35,8c843c5f80d81607ea5df2358e25dfed6b5a4fbce631bcbc909d6cb4aba443b3,What would you prefer? Option 1: A payment of 300 SAR today OR Option 2: 356.4 SAR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,5,Delay 356.4,60,male,Saudi Arabia
22a1e729-98dc-4329-9896-194af2356f35,8c843c5f80d81607ea5df2358e25dfed6b5a4fbce631bcbc909d6cb4aba443b3,Imagine someone did you a favor that cost them 10 SAR. How much would you be willing to spend to return the favor? Please answer with a single number.,10.0,Reciprocation 10,60,male,Saudi Arabia
22a1e729-98dc-4329-9896-194af2356f35,8c843c5f80d81607ea5df2358e25dfed6b5a4fbce631bcbc909d6cb4aba443b3,Imagine someone did you a favor that cost them 20 SAR. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 30 SAR to return the favor.,Reciprocation 20,60,male,Saudi Arabia
22a1e729-98dc-4329-9896-194af2356f35,8c843c5f80d81607ea5df2358e25dfed6b5a4fbce631bcbc909d6cb4aba443b3,Imagine someone did you a favor that cost them 30 SAR. How much would you be willing to spend to return the favor? Please answer with a single number.,30.0,Reciprocation 30,60,male,Saudi Arabia
