Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
66933460-c93f-4e65-afa1-6f049b3505a8,04341c4e5a5234cfadf060e6fe0fbdc48951b286419fdbd50c2736861b97bad2,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 4.,Willingness to take risk,60,male,Malawi
66933460-c93f-4e65-afa1-6f049b3505a8,04341c4e5a5234cfadf060e6fe0fbdc48951b286419fdbd50c2736861b97bad2,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,60,male,Malawi
66933460-c93f-4e65-afa1-6f049b3505a8,04341c4e5a5234cfadf060e6fe0fbdc48951b286419fdbd50c2736861b97bad2,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,60,male,Malawi
66933460-c93f-4e65-afa1-6f049b3505a8,04341c4e5a5234cfadf060e6fe0fbdc48951b286419fdbd50c2736861b97bad2,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,60,male,Malawi
66933460-c93f-4e65-afa1-6f049b3505a8,04341c4e5a5234cfadf060e6fe0fbdc48951b286419fdbd50c2736861b97bad2,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to donate,60,male,Malawi
66933460-c93f-4e65-afa1-6f049b3505a8,04341c4e5a5234cfadf060e6fe0fbdc48951b286419fdbd50c2736861b97bad2,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,60,male,Malawi
66933460-c93f-4e65-afa1-6f049b3505a8,04341c4e5a5234cfadf060e6fe0fbdc48951b286419fdbd50c2736861b97bad2,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,60,male,Malawi
66933460-c93f-4e65-afa1-6f049b3505a8,04341c4e5a5234cfadf060e6fe0fbdc48951b286419fdbd50c2736861b97bad2,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,60,male,Malawi
66933460-c93f-4e65-afa1-6f049b3505a8,04341c4e5a5234cfadf060e6fe0fbdc48951b286419fdbd50c2736861b97bad2,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,5,Good at math,60,male,Malawi
66933460-c93f-4e65-afa1-6f049b3505a8,04341c4e5a5234cfadf060e6fe0fbdc48951b286419fdbd50c2736861b97bad2,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,60,male,Malawi
66933460-c93f-4e65-afa1-6f049b3505a8,04341c4e5a5234cfadf060e6fe0fbdc48951b286419fdbd50c2736861b97bad2,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,60,male,Malawi
66933460-c93f-4e65-afa1-6f049b3505a8,04341c4e5a5234cfadf060e6fe0fbdc48951b286419fdbd50c2736861b97bad2,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,60,male,Malawi
66933460-c93f-4e65-afa1-6f049b3505a8,04341c4e5a5234cfadf060e6fe0fbdc48951b286419fdbd50c2736861b97bad2,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 750 MWK and the same 50-percent chance of receiving nothing, OR Option 2: 25 MWK as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 25,60,male,Malawi
66933460-c93f-4e65-afa1-6f049b3505a8,04341c4e5a5234cfadf060e6fe0fbdc48951b286419fdbd50c2736861b97bad2,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 750 MWK and the same 50-percent chance of receiving nothing, OR Option 2: 50 MWK as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 50,60,male,Malawi
66933460-c93f-4e65-afa1-6f049b3505a8,04341c4e5a5234cfadf060e6fe0fbdc48951b286419fdbd50c2736861b97bad2,What would you prefer? Option 1: A payment of 300 MWK today OR Option 2: 309.0 MWK in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 309.0,60,male,Malawi
66933460-c93f-4e65-afa1-6f049b3505a8,04341c4e5a5234cfadf060e6fe0fbdc48951b286419fdbd50c2736861b97bad2,What would you prefer? Option 1: A payment of 300 MWK today OR Option 2: 318.29999999999995 MWK in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 318.29999999999995,60,male,Malawi
66933460-c93f-4e65-afa1-6f049b3505a8,04341c4e5a5234cfadf060e6fe0fbdc48951b286419fdbd50c2736861b97bad2,Imagine someone did you a favor that cost them 15 MWK. How much would you be willing to spend to return the favor? Please answer with a single number.,15,Reciprocation 15,60,male,Malawi
66933460-c93f-4e65-afa1-6f049b3505a8,04341c4e5a5234cfadf060e6fe0fbdc48951b286419fdbd50c2736861b97bad2,Imagine someone did you a favor that cost them 30 MWK. How much would you be willing to spend to return the favor? Please answer with a single number.,30,Reciprocation 30,60,male,Malawi
66933460-c93f-4e65-afa1-6f049b3505a8,04341c4e5a5234cfadf060e6fe0fbdc48951b286419fdbd50c2736861b97bad2,Imagine someone did you a favor that cost them 45 MWK. How much would you be willing to spend to return the favor? Please answer with a single number.,60 MWK,Reciprocation 45,60,male,Malawi
66933460-c93f-4e65-afa1-6f049b3505a8,04341c4e5a5234cfadf060e6fe0fbdc48951b286419fdbd50c2736861b97bad2,Imagine someone did you a favor that cost them 60 MWK. How much would you be willing to spend to return the favor? Please answer with a single number.,60,Reciprocation 60,60,male,Malawi
66933460-c93f-4e65-afa1-6f049b3505a8,04341c4e5a5234cfadf060e6fe0fbdc48951b286419fdbd50c2736861b97bad2,Imagine someone did you a favor that cost them 60 MWK. How much would you be willing to spend to return the favor? Please answer with a single number.,60 MWK,Reciprocation 60,60,male,Malawi
66933460-c93f-4e65-afa1-6f049b3505a8,04341c4e5a5234cfadf060e6fe0fbdc48951b286419fdbd50c2736861b97bad2,Imagine someone did you a favor that cost them 75 MWK. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 75 MWK to return the favor.,Reciprocation 75,60,male,Malawi
66933460-c93f-4e65-afa1-6f049b3505a8,04341c4e5a5234cfadf060e6fe0fbdc48951b286419fdbd50c2736861b97bad2,Imagine someone did you a favor that cost them 90 MWK. How much would you be willing to spend to return the favor? Please answer with a single number.,90,Reciprocation 90,60,male,Malawi
66933460-c93f-4e65-afa1-6f049b3505a8,04341c4e5a5234cfadf060e6fe0fbdc48951b286419fdbd50c2736861b97bad2,You unexpectedly received 2500.0 MWK. How much of this amount would you donate to a good cause? Please answer with a single number.,1000.0,Donation 2500.0,60,male,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 4.,Willingness to take risk,74,female,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,74,female,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,74,female,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,74,female,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,74,female,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,74,female,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,74,female,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,74,female,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,4,Good at math,74,female,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,74,female,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,74,female,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,74,female,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 750 MWK and the same 50-percent chance of receiving nothing, OR Option 2: 25 MWK as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 25,74,female,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,What would you prefer? Option 1: A payment of 300 MWK today OR Option 2: 309.0 MWK in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 309.0,74,female,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,What would you prefer? Option 1: A payment of 300 MWK today OR Option 2: 318.29999999999995 MWK in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 318.29999999999995,74,female,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,What would you prefer? Option 1: A payment of 300 MWK today OR Option 2: 327.6 MWK in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 327.6,74,female,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,What would you prefer? Option 1: A payment of 300 MWK today OR Option 2: 337.20000000000005 MWK in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 337.20000000000005,74,female,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,Imagine someone did you a favor that cost them 15 MWK. How much would you be willing to spend to return the favor? Please answer with a single number.,20 MWK,Reciprocation 15,74,female,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,Imagine someone did you a favor that cost them 30 MWK. How much would you be willing to spend to return the favor? Please answer with a single number.,30 MWK,Reciprocation 30,74,female,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,Imagine someone did you a favor that cost them 45 MWK. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 30 MWK to return the favor.,Reciprocation 45,74,female,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,Imagine someone did you a favor that cost them 60 MWK. How much would you be willing to spend to return the favor? Please answer with a single number.,60,Reciprocation 60,74,female,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,Imagine someone did you a favor that cost them 60 MWK. How much would you be willing to spend to return the favor? Please answer with a single number.,60 MWK,Reciprocation 60,74,female,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,Imagine someone did you a favor that cost them 75 MWK. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 75 MWK to return the favor.,Reciprocation 75,74,female,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,Imagine someone did you a favor that cost them 90 MWK. How much would you be willing to spend to return the favor? Please answer with a single number.,90,Reciprocation 90,74,female,Malawi
cfbf6621-46b6-4847-a9ec-3c85a880872a,fbc633622304b4efc1b45829cddf0df6cff206b1302b447f68a174cd23a81e89,You unexpectedly received 2500.0 MWK. How much of this amount would you donate to a good cause? Please answer with a single number.,500.0,Donation 2500.0,74,female,Malawi
