Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
63ec77bf-58e1-466f-a04f-7c5f62b70ba7,82889e857451b267143be4183f8e1934e2b59e7aafd6aa2b9b4934fb5bb5725a,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,23,female,Netherlands
63ec77bf-58e1-466f-a04f-7c5f62b70ba7,82889e857451b267143be4183f8e1934e2b59e7aafd6aa2b9b4934fb5bb5725a,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to delay consumption,23,female,Netherlands
63ec77bf-58e1-466f-a04f-7c5f62b70ba7,82889e857451b267143be4183f8e1934e2b59e7aafd6aa2b9b4934fb5bb5725a,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,23,female,Netherlands
63ec77bf-58e1-466f-a04f-7c5f62b70ba7,82889e857451b267143be4183f8e1934e2b59e7aafd6aa2b9b4934fb5bb5725a,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,23,female,Netherlands
63ec77bf-58e1-466f-a04f-7c5f62b70ba7,82889e857451b267143be4183f8e1934e2b59e7aafd6aa2b9b4934fb5bb5725a,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,23,female,Netherlands
63ec77bf-58e1-466f-a04f-7c5f62b70ba7,82889e857451b267143be4183f8e1934e2b59e7aafd6aa2b9b4934fb5bb5725a,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,23,female,Netherlands
63ec77bf-58e1-466f-a04f-7c5f62b70ba7,82889e857451b267143be4183f8e1934e2b59e7aafd6aa2b9b4934fb5bb5725a,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,23,female,Netherlands
63ec77bf-58e1-466f-a04f-7c5f62b70ba7,82889e857451b267143be4183f8e1934e2b59e7aafd6aa2b9b4934fb5bb5725a,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,7,People have best intentions,23,female,Netherlands
63ec77bf-58e1-466f-a04f-7c5f62b70ba7,82889e857451b267143be4183f8e1934e2b59e7aafd6aa2b9b4934fb5bb5725a,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,23,female,Netherlands
63ec77bf-58e1-466f-a04f-7c5f62b70ba7,82889e857451b267143be4183f8e1934e2b59e7aafd6aa2b9b4934fb5bb5725a,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,23,female,Netherlands
