Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
a63d202e-c2e7-4b05-94f7-72c6b59aaa51,182fc493681514080d778c51a1fe6f84bd7d30dd3d5e4877c0d0a380a5ae1e81,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,54,female,Uganda
a63d202e-c2e7-4b05-94f7-72c6b59aaa51,182fc493681514080d778c51a1fe6f84bd7d30dd3d5e4877c0d0a380a5ae1e81,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,54,female,Uganda
a63d202e-c2e7-4b05-94f7-72c6b59aaa51,182fc493681514080d778c51a1fe6f84bd7d30dd3d5e4877c0d0a380a5ae1e81,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,54,female,Uganda
a63d202e-c2e7-4b05-94f7-72c6b59aaa51,182fc493681514080d778c51a1fe6f84bd7d30dd3d5e4877c0d0a380a5ae1e81,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,54,female,Uganda
a63d202e-c2e7-4b05-94f7-72c6b59aaa51,182fc493681514080d778c51a1fe6f84bd7d30dd3d5e4877c0d0a380a5ae1e81,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,54,female,Uganda
a63d202e-c2e7-4b05-94f7-72c6b59aaa51,182fc493681514080d778c51a1fe6f84bd7d30dd3d5e4877c0d0a380a5ae1e81,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,54,female,Uganda
a63d202e-c2e7-4b05-94f7-72c6b59aaa51,182fc493681514080d778c51a1fe6f84bd7d30dd3d5e4877c0d0a380a5ae1e81,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",5,Will do revenge,54,female,Uganda
a63d202e-c2e7-4b05-94f7-72c6b59aaa51,182fc493681514080d778c51a1fe6f84bd7d30dd3d5e4877c0d0a380a5ae1e81,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,54,female,Uganda
a63d202e-c2e7-4b05-94f7-72c6b59aaa51,182fc493681514080d778c51a1fe6f84bd7d30dd3d5e4877c0d0a380a5ae1e81,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,5,Good at math,54,female,Uganda
a63d202e-c2e7-4b05-94f7-72c6b59aaa51,182fc493681514080d778c51a1fe6f84bd7d30dd3d5e4877c0d0a380a5ae1e81,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,54,female,Uganda
a63d202e-c2e7-4b05-94f7-72c6b59aaa51,182fc493681514080d778c51a1fe6f84bd7d30dd3d5e4877c0d0a380a5ae1e81,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",20,Present giving,54,female,Uganda
a63d202e-c2e7-4b05-94f7-72c6b59aaa51,182fc493681514080d778c51a1fe6f84bd7d30dd3d5e4877c0d0a380a5ae1e81,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,54,female,Uganda
a63d202e-c2e7-4b05-94f7-72c6b59aaa51,182fc493681514080d778c51a1fe6f84bd7d30dd3d5e4877c0d0a380a5ae1e81,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 18000 UGX and the same 50-percent chance of receiving nothing, OR Option 2: 600 UGX as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 600,54,female,Uganda
a63d202e-c2e7-4b05-94f7-72c6b59aaa51,182fc493681514080d778c51a1fe6f84bd7d30dd3d5e4877c0d0a380a5ae1e81,What would you prefer? Option 1: A payment of 6000 UGX today OR Option 2: 6180.0 UGX in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 6180.0,54,female,Uganda
a63d202e-c2e7-4b05-94f7-72c6b59aaa51,182fc493681514080d778c51a1fe6f84bd7d30dd3d5e4877c0d0a380a5ae1e81,What would you prefer? Option 1: A payment of 6000 UGX today OR Option 2: 6370.0 UGX in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 6370.0,54,female,Uganda
a63d202e-c2e7-4b05-94f7-72c6b59aaa51,182fc493681514080d778c51a1fe6f84bd7d30dd3d5e4877c0d0a380a5ae1e81,Imagine someone did you a favor that cost them 300 UGX. How much would you be willing to spend to return the favor? Please answer with a single number.,300 UGX,Reciprocation 300,54,female,Uganda
a63d202e-c2e7-4b05-94f7-72c6b59aaa51,182fc493681514080d778c51a1fe6f84bd7d30dd3d5e4877c0d0a380a5ae1e81,Imagine someone did you a favor that cost them 600 UGX. How much would you be willing to spend to return the favor? Please answer with a single number.,600 UGX,Reciprocation 600,54,female,Uganda
a63d202e-c2e7-4b05-94f7-72c6b59aaa51,182fc493681514080d778c51a1fe6f84bd7d30dd3d5e4877c0d0a380a5ae1e81,Imagine someone did you a favor that cost them 900 UGX. How much would you be willing to spend to return the favor? Please answer with a single number.,900,Reciprocation 900,54,female,Uganda
a63d202e-c2e7-4b05-94f7-72c6b59aaa51,182fc493681514080d778c51a1fe6f84bd7d30dd3d5e4877c0d0a380a5ae1e81,Imagine someone did you a favor that cost them 1200 UGX. How much would you be willing to spend to return the favor? Please answer with a single number.,800 UGX,Reciprocation 1200,54,female,Uganda
a63d202e-c2e7-4b05-94f7-72c6b59aaa51,182fc493681514080d778c51a1fe6f84bd7d30dd3d5e4877c0d0a380a5ae1e81,Imagine someone did you a favor that cost them 1200 UGX. How much would you be willing to spend to return the favor? Please answer with a single number.,800 UGX,Reciprocation 1200,54,female,Uganda
a63d202e-c2e7-4b05-94f7-72c6b59aaa51,182fc493681514080d778c51a1fe6f84bd7d30dd3d5e4877c0d0a380a5ae1e81,Imagine someone did you a favor that cost them 1500 UGX. How much would you be willing to spend to return the favor? Please answer with a single number.,1500,Reciprocation 1500,54,female,Uganda
a63d202e-c2e7-4b05-94f7-72c6b59aaa51,182fc493681514080d778c51a1fe6f84bd7d30dd3d5e4877c0d0a380a5ae1e81,Imagine someone did you a favor that cost them 1800 UGX. How much would you be willing to spend to return the favor? Please answer with a single number.,1800,Reciprocation 1800,54,female,Uganda
a63d202e-c2e7-4b05-94f7-72c6b59aaa51,182fc493681514080d778c51a1fe6f84bd7d30dd3d5e4877c0d0a380a5ae1e81,You unexpectedly received 60000.0 UGX. How much of this amount would you donate to a good cause? Please answer with a single number.,20000.0,Donation 60000.0,54,female,Uganda
789e2e5f-72c4-4b51-9a2b-105c63345866,09b8c2885d6e90a93868fe6586b36e2208ca9a977a052865fb4bc8a4780e0f4d,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks at a 4.,Willingness to take risk,70,male,Uganda
789e2e5f-72c4-4b51-9a2b-105c63345866,09b8c2885d6e90a93868fe6586b36e2208ca9a977a052865fb4bc8a4780e0f4d,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,70,male,Uganda
789e2e5f-72c4-4b51-9a2b-105c63345866,09b8c2885d6e90a93868fe6586b36e2208ca9a977a052865fb4bc8a4780e0f4d,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,70,male,Uganda
789e2e5f-72c4-4b51-9a2b-105c63345866,09b8c2885d6e90a93868fe6586b36e2208ca9a977a052865fb4bc8a4780e0f4d,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,70,male,Uganda
789e2e5f-72c4-4b51-9a2b-105c63345866,09b8c2885d6e90a93868fe6586b36e2208ca9a977a052865fb4bc8a4780e0f4d,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,70,male,Uganda
