Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
831e30eb-c657-4ca2-aef4-215af7810bcb,1a913ee3121cf7e95d401fb2483f8b4fc24308e15ed48a0a94365393deb0bb3d,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",4,Willingness to take risk,72,female,Bangladesh
831e30eb-c657-4ca2-aef4-215af7810bcb,1a913ee3121cf7e95d401fb2483f8b4fc24308e15ed48a0a94365393deb0bb3d,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,72,female,Bangladesh
831e30eb-c657-4ca2-aef4-215af7810bcb,1a913ee3121cf7e95d401fb2483f8b4fc24308e15ed48a0a94365393deb0bb3d,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,72,female,Bangladesh
831e30eb-c657-4ca2-aef4-215af7810bcb,1a913ee3121cf7e95d401fb2483f8b4fc24308e15ed48a0a94365393deb0bb3d,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,72,female,Bangladesh
831e30eb-c657-4ca2-aef4-215af7810bcb,1a913ee3121cf7e95d401fb2483f8b4fc24308e15ed48a0a94365393deb0bb3d,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,72,female,Bangladesh
831e30eb-c657-4ca2-aef4-215af7810bcb,1a913ee3121cf7e95d401fb2483f8b4fc24308e15ed48a0a94365393deb0bb3d,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,72,female,Bangladesh
831e30eb-c657-4ca2-aef4-215af7810bcb,1a913ee3121cf7e95d401fb2483f8b4fc24308e15ed48a0a94365393deb0bb3d,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,72,female,Bangladesh
831e30eb-c657-4ca2-aef4-215af7810bcb,1a913ee3121cf7e95d401fb2483f8b4fc24308e15ed48a0a94365393deb0bb3d,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,7,People have best intentions,72,female,Bangladesh
831e30eb-c657-4ca2-aef4-215af7810bcb,1a913ee3121cf7e95d401fb2483f8b4fc24308e15ed48a0a94365393deb0bb3d,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,4,Good at math,72,female,Bangladesh
831e30eb-c657-4ca2-aef4-215af7810bcb,1a913ee3121cf7e95d401fb2483f8b4fc24308e15ed48a0a94365393deb0bb3d,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,6,Procrastinate,72,female,Bangladesh
