Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
e3fd50a4-37d4-47f0-b290-453bc20205cb,b57d06f21807bdd6bd71c2cc72ed6ea530d9bff622a58eb419da9c915c57f40d,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",7,Willingness to take risk,22,male,Bolivia
e3fd50a4-37d4-47f0-b290-453bc20205cb,b57d06f21807bdd6bd71c2cc72ed6ea530d9bff622a58eb419da9c915c57f40d,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,22,male,Bolivia
e3fd50a4-37d4-47f0-b290-453bc20205cb,b57d06f21807bdd6bd71c2cc72ed6ea530d9bff622a58eb419da9c915c57f40d,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,22,male,Bolivia
e3fd50a4-37d4-47f0-b290-453bc20205cb,b57d06f21807bdd6bd71c2cc72ed6ea530d9bff622a58eb419da9c915c57f40d,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,22,male,Bolivia
e3fd50a4-37d4-47f0-b290-453bc20205cb,b57d06f21807bdd6bd71c2cc72ed6ea530d9bff622a58eb419da9c915c57f40d,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,22,male,Bolivia
e3fd50a4-37d4-47f0-b290-453bc20205cb,b57d06f21807bdd6bd71c2cc72ed6ea530d9bff622a58eb419da9c915c57f40d,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,22,male,Bolivia
e3fd50a4-37d4-47f0-b290-453bc20205cb,b57d06f21807bdd6bd71c2cc72ed6ea530d9bff622a58eb419da9c915c57f40d,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",6,Will do revenge,22,male,Bolivia
e3fd50a4-37d4-47f0-b290-453bc20205cb,b57d06f21807bdd6bd71c2cc72ed6ea530d9bff622a58eb419da9c915c57f40d,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,22,male,Bolivia
e3fd50a4-37d4-47f0-b290-453bc20205cb,b57d06f21807bdd6bd71c2cc72ed6ea530d9bff622a58eb419da9c915c57f40d,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,22,male,Bolivia
e3fd50a4-37d4-47f0-b290-453bc20205cb,b57d06f21807bdd6bd71c2cc72ed6ea530d9bff622a58eb419da9c915c57f40d,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,22,male,Bolivia
e3fd50a4-37d4-47f0-b290-453bc20205cb,b57d06f21807bdd6bd71c2cc72ed6ea530d9bff622a58eb419da9c915c57f40d,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,22,male,Bolivia
e3fd50a4-37d4-47f0-b290-453bc20205cb,b57d06f21807bdd6bd71c2cc72ed6ea530d9bff622a58eb419da9c915c57f40d,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,22,male,Bolivia
e3fd50a4-37d4-47f0-b290-453bc20205cb,b57d06f21807bdd6bd71c2cc72ed6ea530d9bff622a58eb419da9c915c57f40d,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 BOB and the same 50-percent chance of receiving nothing, OR Option 2: 5 BOB as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0,Risk 5,22,male,Bolivia
e3fd50a4-37d4-47f0-b290-453bc20205cb,b57d06f21807bdd6bd71c2cc72ed6ea530d9bff622a58eb419da9c915c57f40d,What would you prefer? Option 1: A payment of 100 BOB today OR Option 2: 106.1 BOB in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,1,Delay 106.1,22,male,Bolivia
e3fd50a4-37d4-47f0-b290-453bc20205cb,b57d06f21807bdd6bd71c2cc72ed6ea530d9bff622a58eb419da9c915c57f40d,Imagine someone did you a favor that cost them 3 BOB. How much would you be willing to spend to return the favor? Please answer with a single number.,100,Reciprocation 3,22,male,Bolivia
e3fd50a4-37d4-47f0-b290-453bc20205cb,b57d06f21807bdd6bd71c2cc72ed6ea530d9bff622a58eb419da9c915c57f40d,Imagine someone did you a favor that cost them 6 BOB. How much would you be willing to spend to return the favor? Please answer with a single number.,100,Reciprocation 6,22,male,Bolivia
e3fd50a4-37d4-47f0-b290-453bc20205cb,b57d06f21807bdd6bd71c2cc72ed6ea530d9bff622a58eb419da9c915c57f40d,Imagine someone did you a favor that cost them 9 BOB. How much would you be willing to spend to return the favor? Please answer with a single number.,9,Reciprocation 9,22,male,Bolivia
e3fd50a4-37d4-47f0-b290-453bc20205cb,b57d06f21807bdd6bd71c2cc72ed6ea530d9bff622a58eb419da9c915c57f40d,Imagine someone did you a favor that cost them 12 BOB. How much would you be willing to spend to return the favor? Please answer with a single number.,100,Reciprocation 12,22,male,Bolivia
e3fd50a4-37d4-47f0-b290-453bc20205cb,b57d06f21807bdd6bd71c2cc72ed6ea530d9bff622a58eb419da9c915c57f40d,Imagine someone did you a favor that cost them 12 BOB. How much would you be willing to spend to return the favor? Please answer with a single number.,100,Reciprocation 12,22,male,Bolivia
e3fd50a4-37d4-47f0-b290-453bc20205cb,b57d06f21807bdd6bd71c2cc72ed6ea530d9bff622a58eb419da9c915c57f40d,Imagine someone did you a favor that cost them 15 BOB. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 15,22,male,Bolivia
e3fd50a4-37d4-47f0-b290-453bc20205cb,b57d06f21807bdd6bd71c2cc72ed6ea530d9bff622a58eb419da9c915c57f40d,Imagine someone did you a favor that cost them 18 BOB. How much would you be willing to spend to return the favor? Please answer with a single number.,100,Reciprocation 18,22,male,Bolivia
e3fd50a4-37d4-47f0-b290-453bc20205cb,b57d06f21807bdd6bd71c2cc72ed6ea530d9bff622a58eb419da9c915c57f40d,You unexpectedly received 600.0000000000001 BOB. How much of this amount would you donate to a good cause? Please answer with a single number.,100000,Donation 600.0000000000001,22,male,Bolivia
db16f3d8-77cb-4055-9c36-eab5fb05e1f9,add7235ed2e6c7106db503c38cac897b0eadc85f084cc36ceb6ccc0eb92a6a7f,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",5,Willingness to take risk,64,female,Bolivia
db16f3d8-77cb-4055-9c36-eab5fb05e1f9,add7235ed2e6c7106db503c38cac897b0eadc85f084cc36ceb6ccc0eb92a6a7f,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,64,female,Bolivia
db16f3d8-77cb-4055-9c36-eab5fb05e1f9,add7235ed2e6c7106db503c38cac897b0eadc85f084cc36ceb6ccc0eb92a6a7f,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,64,female,Bolivia
db16f3d8-77cb-4055-9c36-eab5fb05e1f9,add7235ed2e6c7106db503c38cac897b0eadc85f084cc36ceb6ccc0eb92a6a7f,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,64,female,Bolivia
db16f3d8-77cb-4055-9c36-eab5fb05e1f9,add7235ed2e6c7106db503c38cac897b0eadc85f084cc36ceb6ccc0eb92a6a7f,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,64,female,Bolivia
db16f3d8-77cb-4055-9c36-eab5fb05e1f9,add7235ed2e6c7106db503c38cac897b0eadc85f084cc36ceb6ccc0eb92a6a7f,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,64,female,Bolivia
db16f3d8-77cb-4055-9c36-eab5fb05e1f9,add7235ed2e6c7106db503c38cac897b0eadc85f084cc36ceb6ccc0eb92a6a7f,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,64,female,Bolivia
db16f3d8-77cb-4055-9c36-eab5fb05e1f9,add7235ed2e6c7106db503c38cac897b0eadc85f084cc36ceb6ccc0eb92a6a7f,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,7,People have best intentions,64,female,Bolivia
db16f3d8-77cb-4055-9c36-eab5fb05e1f9,add7235ed2e6c7106db503c38cac897b0eadc85f084cc36ceb6ccc0eb92a6a7f,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,5,Good at math,64,female,Bolivia
db16f3d8-77cb-4055-9c36-eab5fb05e1f9,add7235ed2e6c7106db503c38cac897b0eadc85f084cc36ceb6ccc0eb92a6a7f,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,64,female,Bolivia
db16f3d8-77cb-4055-9c36-eab5fb05e1f9,add7235ed2e6c7106db503c38cac897b0eadc85f084cc36ceb6ccc0eb92a6a7f,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,64,female,Bolivia
