Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
4ae29eda-0963-46bb-97fb-656f814bd63d,e2e229027558e8d086e2b81efdd83eaccdf65ef04acc6e8512a45cd7f47115b4,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",6,Willingness to take risk,40,male,Botswana
4ae29eda-0963-46bb-97fb-656f814bd63d,e2e229027558e8d086e2b81efdd83eaccdf65ef04acc6e8512a45cd7f47115b4,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,40,male,Botswana
4ae29eda-0963-46bb-97fb-656f814bd63d,e2e229027558e8d086e2b81efdd83eaccdf65ef04acc6e8512a45cd7f47115b4,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,40,male,Botswana
4ae29eda-0963-46bb-97fb-656f814bd63d,e2e229027558e8d086e2b81efdd83eaccdf65ef04acc6e8512a45cd7f47115b4,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,40,male,Botswana
4ae29eda-0963-46bb-97fb-656f814bd63d,e2e229027558e8d086e2b81efdd83eaccdf65ef04acc6e8512a45cd7f47115b4,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,40,male,Botswana
4ae29eda-0963-46bb-97fb-656f814bd63d,e2e229027558e8d086e2b81efdd83eaccdf65ef04acc6e8512a45cd7f47115b4,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,40,male,Botswana
4ae29eda-0963-46bb-97fb-656f814bd63d,e2e229027558e8d086e2b81efdd83eaccdf65ef04acc6e8512a45cd7f47115b4,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",7,Will do revenge,40,male,Botswana
4ae29eda-0963-46bb-97fb-656f814bd63d,e2e229027558e8d086e2b81efdd83eaccdf65ef04acc6e8512a45cd7f47115b4,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,40,male,Botswana
4ae29eda-0963-46bb-97fb-656f814bd63d,e2e229027558e8d086e2b81efdd83eaccdf65ef04acc6e8512a45cd7f47115b4,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,40,male,Botswana
4ae29eda-0963-46bb-97fb-656f814bd63d,e2e229027558e8d086e2b81efdd83eaccdf65ef04acc6e8512a45cd7f47115b4,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,40,male,Botswana
4ae29eda-0963-46bb-97fb-656f814bd63d,e2e229027558e8d086e2b81efdd83eaccdf65ef04acc6e8512a45cd7f47115b4,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,40,male,Botswana
4ae29eda-0963-46bb-97fb-656f814bd63d,e2e229027558e8d086e2b81efdd83eaccdf65ef04acc6e8512a45cd7f47115b4,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,40,male,Botswana
4ae29eda-0963-46bb-97fb-656f814bd63d,e2e229027558e8d086e2b81efdd83eaccdf65ef04acc6e8512a45cd7f47115b4,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 BWP and the same 50-percent chance of receiving nothing, OR Option 2: 10 BWP as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0,Risk 10,40,male,Botswana
4ae29eda-0963-46bb-97fb-656f814bd63d,e2e229027558e8d086e2b81efdd83eaccdf65ef04acc6e8512a45cd7f47115b4,What would you prefer? Option 1: A payment of 100 BWP today OR Option 2: 112.4 BWP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,3,Delay 112.4,40,male,Botswana
4ae29eda-0963-46bb-97fb-656f814bd63d,e2e229027558e8d086e2b81efdd83eaccdf65ef04acc6e8512a45cd7f47115b4,Imagine someone did you a favor that cost them 4 BWP. How much would you be willing to spend to return the favor? Please answer with a single number.,8,Reciprocation 4,40,male,Botswana
4ae29eda-0963-46bb-97fb-656f814bd63d,e2e229027558e8d086e2b81efdd83eaccdf65ef04acc6e8512a45cd7f47115b4,Imagine someone did you a favor that cost them 8 BWP. How much would you be willing to spend to return the favor? Please answer with a single number.,10,Reciprocation 8,40,male,Botswana
4ae29eda-0963-46bb-97fb-656f814bd63d,e2e229027558e8d086e2b81efdd83eaccdf65ef04acc6e8512a45cd7f47115b4,Imagine someone did you a favor that cost them 12 BWP. How much would you be willing to spend to return the favor? Please answer with a single number.,15,Reciprocation 12,40,male,Botswana
4ae29eda-0963-46bb-97fb-656f814bd63d,e2e229027558e8d086e2b81efdd83eaccdf65ef04acc6e8512a45cd7f47115b4,Imagine someone did you a favor that cost them 16 BWP. How much would you be willing to spend to return the favor? Please answer with a single number.,100,Reciprocation 16,40,male,Botswana
4ae29eda-0963-46bb-97fb-656f814bd63d,e2e229027558e8d086e2b81efdd83eaccdf65ef04acc6e8512a45cd7f47115b4,Imagine someone did you a favor that cost them 16 BWP. How much would you be willing to spend to return the favor? Please answer with a single number.,100,Reciprocation 16,40,male,Botswana
4ae29eda-0963-46bb-97fb-656f814bd63d,e2e229027558e8d086e2b81efdd83eaccdf65ef04acc6e8512a45cd7f47115b4,Imagine someone did you a favor that cost them 20 BWP. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 20,40,male,Botswana
4ae29eda-0963-46bb-97fb-656f814bd63d,e2e229027558e8d086e2b81efdd83eaccdf65ef04acc6e8512a45cd7f47115b4,Imagine someone did you a favor that cost them 24 BWP. How much would you be willing to spend to return the favor? Please answer with a single number.,30,Reciprocation 24,40,male,Botswana
4ae29eda-0963-46bb-97fb-656f814bd63d,e2e229027558e8d086e2b81efdd83eaccdf65ef04acc6e8512a45cd7f47115b4,You unexpectedly received 800.0 BWP. How much of this amount would you donate to a good cause? Please answer with a single number.,25,Donation 800.0,40,male,Botswana
2f717c3c-6d39-4d1b-af3d-cbc09e72e415,a0ec9e7b1ecc50ea6162a36e90a729d3f96dacf3c7c63b065ccc5d6b3ebc4b67,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",7,Willingness to take risk,21,female,Botswana
2f717c3c-6d39-4d1b-af3d-cbc09e72e415,a0ec9e7b1ecc50ea6162a36e90a729d3f96dacf3c7c63b065ccc5d6b3ebc4b67,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,21,female,Botswana
2f717c3c-6d39-4d1b-af3d-cbc09e72e415,a0ec9e7b1ecc50ea6162a36e90a729d3f96dacf3c7c63b065ccc5d6b3ebc4b67,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,21,female,Botswana
2f717c3c-6d39-4d1b-af3d-cbc09e72e415,a0ec9e7b1ecc50ea6162a36e90a729d3f96dacf3c7c63b065ccc5d6b3ebc4b67,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,21,female,Botswana
2f717c3c-6d39-4d1b-af3d-cbc09e72e415,a0ec9e7b1ecc50ea6162a36e90a729d3f96dacf3c7c63b065ccc5d6b3ebc4b67,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,21,female,Botswana
