Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
691f8229-1d28-4636-ac0e-22a548e0cee7,a88d09a67848a1b9cfdeacefe711b3ea252f2ff8069540a594f32190cbf9f778,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",4,Willingness to take risk,76,male,Russia
691f8229-1d28-4636-ac0e-22a548e0cee7,a88d09a67848a1b9cfdeacefe711b3ea252f2ff8069540a594f32190cbf9f778,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,76,male,Russia
691f8229-1d28-4636-ac0e-22a548e0cee7,a88d09a67848a1b9cfdeacefe711b3ea252f2ff8069540a594f32190cbf9f778,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,76,male,Russia
691f8229-1d28-4636-ac0e-22a548e0cee7,a88d09a67848a1b9cfdeacefe711b3ea252f2ff8069540a594f32190cbf9f778,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,76,male,Russia
691f8229-1d28-4636-ac0e-22a548e0cee7,a88d09a67848a1b9cfdeacefe711b3ea252f2ff8069540a594f32190cbf9f778,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,76,male,Russia
691f8229-1d28-4636-ac0e-22a548e0cee7,a88d09a67848a1b9cfdeacefe711b3ea252f2ff8069540a594f32190cbf9f778,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",9,Will return favor,76,male,Russia
691f8229-1d28-4636-ac0e-22a548e0cee7,a88d09a67848a1b9cfdeacefe711b3ea252f2ff8069540a594f32190cbf9f778,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,76,male,Russia
691f8229-1d28-4636-ac0e-22a548e0cee7,a88d09a67848a1b9cfdeacefe711b3ea252f2ff8069540a594f32190cbf9f778,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,76,male,Russia
691f8229-1d28-4636-ac0e-22a548e0cee7,a88d09a67848a1b9cfdeacefe711b3ea252f2ff8069540a594f32190cbf9f778,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,4,Good at math,76,male,Russia
691f8229-1d28-4636-ac0e-22a548e0cee7,a88d09a67848a1b9cfdeacefe711b3ea252f2ff8069540a594f32190cbf9f778,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,76,male,Russia
