Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
156d3979-9961-45e9-b09c-226342c14698,875359c311fd97343ff6eb88ac2f38b69fb11db33e1539978bd4470d915e155e,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",5,Willingness to take risk,54,female,Spain
156d3979-9961-45e9-b09c-226342c14698,875359c311fd97343ff6eb88ac2f38b69fb11db33e1539978bd4470d915e155e,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,54,female,Spain
156d3979-9961-45e9-b09c-226342c14698,875359c311fd97343ff6eb88ac2f38b69fb11db33e1539978bd4470d915e155e,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,54,female,Spain
156d3979-9961-45e9-b09c-226342c14698,875359c311fd97343ff6eb88ac2f38b69fb11db33e1539978bd4470d915e155e,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,54,female,Spain
156d3979-9961-45e9-b09c-226342c14698,875359c311fd97343ff6eb88ac2f38b69fb11db33e1539978bd4470d915e155e,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,54,female,Spain
156d3979-9961-45e9-b09c-226342c14698,875359c311fd97343ff6eb88ac2f38b69fb11db33e1539978bd4470d915e155e,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,54,female,Spain
156d3979-9961-45e9-b09c-226342c14698,875359c311fd97343ff6eb88ac2f38b69fb11db33e1539978bd4470d915e155e,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,54,female,Spain
156d3979-9961-45e9-b09c-226342c14698,875359c311fd97343ff6eb88ac2f38b69fb11db33e1539978bd4470d915e155e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,54,female,Spain
156d3979-9961-45e9-b09c-226342c14698,875359c311fd97343ff6eb88ac2f38b69fb11db33e1539978bd4470d915e155e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,54,female,Spain
156d3979-9961-45e9-b09c-226342c14698,875359c311fd97343ff6eb88ac2f38b69fb11db33e1539978bd4470d915e155e,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,54,female,Spain
156d3979-9961-45e9-b09c-226342c14698,875359c311fd97343ff6eb88ac2f38b69fb11db33e1539978bd4470d915e155e,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,54,female,Spain
156d3979-9961-45e9-b09c-226342c14698,875359c311fd97343ff6eb88ac2f38b69fb11db33e1539978bd4470d915e155e,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,54,female,Spain
156d3979-9961-45e9-b09c-226342c14698,875359c311fd97343ff6eb88ac2f38b69fb11db33e1539978bd4470d915e155e,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 5 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0,Risk 5,54,female,Spain
156d3979-9961-45e9-b09c-226342c14698,875359c311fd97343ff6eb88ac2f38b69fb11db33e1539978bd4470d915e155e,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 165.1 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,18,Delay 165.1,54,female,Spain
156d3979-9961-45e9-b09c-226342c14698,875359c311fd97343ff6eb88ac2f38b69fb11db33e1539978bd4470d915e155e,Imagine someone did you a favor that cost them 4 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,6,Reciprocation 4,54,female,Spain
156d3979-9961-45e9-b09c-226342c14698,875359c311fd97343ff6eb88ac2f38b69fb11db33e1539978bd4470d915e155e,Imagine someone did you a favor that cost them 8 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,100,Reciprocation 8,54,female,Spain
156d3979-9961-45e9-b09c-226342c14698,875359c311fd97343ff6eb88ac2f38b69fb11db33e1539978bd4470d915e155e,Imagine someone did you a favor that cost them 12 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,100,Reciprocation 12,54,female,Spain
156d3979-9961-45e9-b09c-226342c14698,875359c311fd97343ff6eb88ac2f38b69fb11db33e1539978bd4470d915e155e,Imagine someone did you a favor that cost them 16 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,125,Reciprocation 16,54,female,Spain
156d3979-9961-45e9-b09c-226342c14698,875359c311fd97343ff6eb88ac2f38b69fb11db33e1539978bd4470d915e155e,Imagine someone did you a favor that cost them 16 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,125,Reciprocation 16,54,female,Spain
156d3979-9961-45e9-b09c-226342c14698,875359c311fd97343ff6eb88ac2f38b69fb11db33e1539978bd4470d915e155e,Imagine someone did you a favor that cost them 20 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,125,Reciprocation 20,54,female,Spain
156d3979-9961-45e9-b09c-226342c14698,875359c311fd97343ff6eb88ac2f38b69fb11db33e1539978bd4470d915e155e,Imagine someone did you a favor that cost them 24 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,100,Reciprocation 24,54,female,Spain
156d3979-9961-45e9-b09c-226342c14698,875359c311fd97343ff6eb88ac2f38b69fb11db33e1539978bd4470d915e155e,You unexpectedly received 700.0 EUR. How much of this amount would you donate to a good cause? Please answer with a single number.,28,Donation 700.0,54,female,Spain
1ae9d78a-e7d9-4994-adfa-b3304137a6d7,e2fada73aa11ac8c057d9b084940e9a7d83b7587fa6514cc90bc4329f173737b,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",5,Willingness to take risk,54,male,Spain
1ae9d78a-e7d9-4994-adfa-b3304137a6d7,e2fada73aa11ac8c057d9b084940e9a7d83b7587fa6514cc90bc4329f173737b,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,54,male,Spain
1ae9d78a-e7d9-4994-adfa-b3304137a6d7,e2fada73aa11ac8c057d9b084940e9a7d83b7587fa6514cc90bc4329f173737b,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,54,male,Spain
1ae9d78a-e7d9-4994-adfa-b3304137a6d7,e2fada73aa11ac8c057d9b084940e9a7d83b7587fa6514cc90bc4329f173737b,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,54,male,Spain
1ae9d78a-e7d9-4994-adfa-b3304137a6d7,e2fada73aa11ac8c057d9b084940e9a7d83b7587fa6514cc90bc4329f173737b,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,54,male,Spain
1ae9d78a-e7d9-4994-adfa-b3304137a6d7,e2fada73aa11ac8c057d9b084940e9a7d83b7587fa6514cc90bc4329f173737b,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,54,male,Spain
1ae9d78a-e7d9-4994-adfa-b3304137a6d7,e2fada73aa11ac8c057d9b084940e9a7d83b7587fa6514cc90bc4329f173737b,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,54,male,Spain
