Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
68953ae2-0cf1-45d3-b550-28687587f15b,96a1a6c7e831f1de944fdb44340860772407cbcf5d16bd07726c2e7ed64bf1f6,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 4.,Willingness to take risk,66,female,Australia
68953ae2-0cf1-45d3-b550-28687587f15b,96a1a6c7e831f1de944fdb44340860772407cbcf5d16bd07726c2e7ed64bf1f6,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,66,female,Australia
68953ae2-0cf1-45d3-b550-28687587f15b,96a1a6c7e831f1de944fdb44340860772407cbcf5d16bd07726c2e7ed64bf1f6,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,66,female,Australia
68953ae2-0cf1-45d3-b550-28687587f15b,96a1a6c7e831f1de944fdb44340860772407cbcf5d16bd07726c2e7ed64bf1f6,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,66,female,Australia
68953ae2-0cf1-45d3-b550-28687587f15b,96a1a6c7e831f1de944fdb44340860772407cbcf5d16bd07726c2e7ed64bf1f6,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,66,female,Australia
68953ae2-0cf1-45d3-b550-28687587f15b,96a1a6c7e831f1de944fdb44340860772407cbcf5d16bd07726c2e7ed64bf1f6,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,66,female,Australia
68953ae2-0cf1-45d3-b550-28687587f15b,96a1a6c7e831f1de944fdb44340860772407cbcf5d16bd07726c2e7ed64bf1f6,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,66,female,Australia
68953ae2-0cf1-45d3-b550-28687587f15b,96a1a6c7e831f1de944fdb44340860772407cbcf5d16bd07726c2e7ed64bf1f6,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,66,female,Australia
68953ae2-0cf1-45d3-b550-28687587f15b,96a1a6c7e831f1de944fdb44340860772407cbcf5d16bd07726c2e7ed64bf1f6,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,5,Good at math,66,female,Australia
68953ae2-0cf1-45d3-b550-28687587f15b,96a1a6c7e831f1de944fdb44340860772407cbcf5d16bd07726c2e7ed64bf1f6,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,5,Procrastinate,66,female,Australia
68953ae2-0cf1-45d3-b550-28687587f15b,96a1a6c7e831f1de944fdb44340860772407cbcf5d16bd07726c2e7ed64bf1f6,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",50,Present giving,66,female,Australia
68953ae2-0cf1-45d3-b550-28687587f15b,96a1a6c7e831f1de944fdb44340860772407cbcf5d16bd07726c2e7ed64bf1f6,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,66,female,Australia
68953ae2-0cf1-45d3-b550-28687587f15b,96a1a6c7e831f1de944fdb44340860772407cbcf5d16bd07726c2e7ed64bf1f6,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 900 AUD and the same 50-percent chance of receiving nothing, OR Option 2: 30 AUD as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 30,66,female,Australia
