Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
a0871551-17d1-4e92-ac93-f1c2ab238fee,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.","I would say I am at a 4. I prefer to be cautious, especially as I've experienced a lot in life, but I'm not completely unwilling to take some risks if I see potential benefits.",Willingness to take risk,79,female,Hungary
a0871551-17d1-4e92-ac93-f1c2ab238fee,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,79,female,Hungary
a0871551-17d1-4e92-ac93-f1c2ab238fee,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,79,female,Hungary
a0871551-17d1-4e92-ac93-f1c2ab238fee,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,79,female,Hungary
a0871551-17d1-4e92-ac93-f1c2ab238fee,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,79,female,Hungary
a0871551-17d1-4e92-ac93-f1c2ab238fee,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,79,female,Hungary
a0871551-17d1-4e92-ac93-f1c2ab238fee,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,79,female,Hungary
a0871551-17d1-4e92-ac93-f1c2ab238fee,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,79,female,Hungary
a0871551-17d1-4e92-ac93-f1c2ab238fee,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,4,Good at math,79,female,Hungary
a0871551-17d1-4e92-ac93-f1c2ab238fee,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,8,Procrastinate,79,female,Hungary
a0871551-17d1-4e92-ac93-f1c2ab238fee,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,79,female,Hungary
a0871551-17d1-4e92-ac93-f1c2ab238fee,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,79,female,Hungary
a0871551-17d1-4e92-ac93-f1c2ab238fee,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 18000 HUF and the same 50-percent chance of receiving nothing, OR Option 2: 600 HUF as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 600,79,female,Hungary
a0871551-17d1-4e92-ac93-f1c2ab238fee,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,What would you prefer? Option 1: A payment of 6000 HUF today OR Option 2: 6180.0 HUF in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 6180.0,79,female,Hungary
a0871551-17d1-4e92-ac93-f1c2ab238fee,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,What would you prefer? Option 1: A payment of 6000 HUF today OR Option 2: 6370.0 HUF in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 6370.0,79,female,Hungary
a0871551-17d1-4e92-ac93-f1c2ab238fee,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,Imagine someone did you a favor that cost them 300 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,300,Reciprocation 300,79,female,Hungary
a0871551-17d1-4e92-ac93-f1c2ab238fee,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,Imagine someone did you a favor that cost them 600 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,600 HUF,Reciprocation 600,79,female,Hungary
a0871551-17d1-4e92-ac93-f1c2ab238fee,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,Imagine someone did you a favor that cost them 900 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,450,Reciprocation 900,79,female,Hungary
a0871551-17d1-4e92-ac93-f1c2ab238fee,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,Imagine someone did you a favor that cost them 1200 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,600 HUF,Reciprocation 1200,79,female,Hungary
a0871551-17d1-4e92-ac93-f1c2ab238fee,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,Imagine someone did you a favor that cost them 1200 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,600 HUF,Reciprocation 1200,79,female,Hungary
a0871551-17d1-4e92-ac93-f1c2ab238fee,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,Imagine someone did you a favor that cost them 1500 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,1500,Reciprocation 1500,79,female,Hungary
a0871551-17d1-4e92-ac93-f1c2ab238fee,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,Imagine someone did you a favor that cost them 1800 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,1800,Reciprocation 1800,79,female,Hungary
a0871551-17d1-4e92-ac93-f1c2ab238fee,a5dfd4b7bc7add6b167e91d1c5512a4193d66874f33e4d1442dc09666aed473c,You unexpectedly received 60000.0 HUF. How much of this amount would you donate to a good cause? Please answer with a single number.,20000,Donation 60000.0,79,female,Hungary
673ef490-e099-4c4c-b853-2d82a69d016d,f9a019f118a779784b1ff127230b3a426d8381358624c8b623eb57b27c2f1389,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 4.,Willingness to take risk,76,male,Hungary
673ef490-e099-4c4c-b853-2d82a69d016d,f9a019f118a779784b1ff127230b3a426d8381358624c8b623eb57b27c2f1389,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,76,male,Hungary
673ef490-e099-4c4c-b853-2d82a69d016d,f9a019f118a779784b1ff127230b3a426d8381358624c8b623eb57b27c2f1389,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,76,male,Hungary
673ef490-e099-4c4c-b853-2d82a69d016d,f9a019f118a779784b1ff127230b3a426d8381358624c8b623eb57b27c2f1389,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,76,male,Hungary
673ef490-e099-4c4c-b853-2d82a69d016d,f9a019f118a779784b1ff127230b3a426d8381358624c8b623eb57b27c2f1389,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,76,male,Hungary
673ef490-e099-4c4c-b853-2d82a69d016d,f9a019f118a779784b1ff127230b3a426d8381358624c8b623eb57b27c2f1389,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,76,male,Hungary
673ef490-e099-4c4c-b853-2d82a69d016d,f9a019f118a779784b1ff127230b3a426d8381358624c8b623eb57b27c2f1389,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,76,male,Hungary
673ef490-e099-4c4c-b853-2d82a69d016d,f9a019f118a779784b1ff127230b3a426d8381358624c8b623eb57b27c2f1389,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,76,male,Hungary
673ef490-e099-4c4c-b853-2d82a69d016d,f9a019f118a779784b1ff127230b3a426d8381358624c8b623eb57b27c2f1389,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,4,Good at math,76,male,Hungary
673ef490-e099-4c4c-b853-2d82a69d016d,f9a019f118a779784b1ff127230b3a426d8381358624c8b623eb57b27c2f1389,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,76,male,Hungary
673ef490-e099-4c4c-b853-2d82a69d016d,f9a019f118a779784b1ff127230b3a426d8381358624c8b623eb57b27c2f1389,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,76,male,Hungary
673ef490-e099-4c4c-b853-2d82a69d016d,f9a019f118a779784b1ff127230b3a426d8381358624c8b623eb57b27c2f1389,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",800,Donate,76,male,Hungary
673ef490-e099-4c4c-b853-2d82a69d016d,f9a019f118a779784b1ff127230b3a426d8381358624c8b623eb57b27c2f1389,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 18000 HUF and the same 50-percent chance of receiving nothing, OR Option 2: 600 HUF as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 600,76,male,Hungary
673ef490-e099-4c4c-b853-2d82a69d016d,f9a019f118a779784b1ff127230b3a426d8381358624c8b623eb57b27c2f1389,What would you prefer? Option 1: A payment of 6000 HUF today OR Option 2: 6180.0 HUF in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 6180.0,76,male,Hungary
673ef490-e099-4c4c-b853-2d82a69d016d,f9a019f118a779784b1ff127230b3a426d8381358624c8b623eb57b27c2f1389,What would you prefer? Option 1: A payment of 6000 HUF today OR Option 2: 6370.0 HUF in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 6370.0,76,male,Hungary
673ef490-e099-4c4c-b853-2d82a69d016d,f9a019f118a779784b1ff127230b3a426d8381358624c8b623eb57b27c2f1389,Imagine someone did you a favor that cost them 300 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,300 HUF,Reciprocation 300,76,male,Hungary
673ef490-e099-4c4c-b853-2d82a69d016d,f9a019f118a779784b1ff127230b3a426d8381358624c8b623eb57b27c2f1389,Imagine someone did you a favor that cost them 600 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,600,Reciprocation 600,76,male,Hungary
673ef490-e099-4c4c-b853-2d82a69d016d,f9a019f118a779784b1ff127230b3a426d8381358624c8b623eb57b27c2f1389,Imagine someone did you a favor that cost them 900 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,900,Reciprocation 900,76,male,Hungary
673ef490-e099-4c4c-b853-2d82a69d016d,f9a019f118a779784b1ff127230b3a426d8381358624c8b623eb57b27c2f1389,Imagine someone did you a favor that cost them 1200 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,1200,Reciprocation 1200,76,male,Hungary
673ef490-e099-4c4c-b853-2d82a69d016d,f9a019f118a779784b1ff127230b3a426d8381358624c8b623eb57b27c2f1389,Imagine someone did you a favor that cost them 1200 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,600 HUF,Reciprocation 1200,76,male,Hungary
673ef490-e099-4c4c-b853-2d82a69d016d,f9a019f118a779784b1ff127230b3a426d8381358624c8b623eb57b27c2f1389,Imagine someone did you a favor that cost them 1500 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,1000,Reciprocation 1500,76,male,Hungary
673ef490-e099-4c4c-b853-2d82a69d016d,f9a019f118a779784b1ff127230b3a426d8381358624c8b623eb57b27c2f1389,Imagine someone did you a favor that cost them 1800 HUF. How much would you be willing to spend to return the favor? Please answer with a single number.,900 HUF,Reciprocation 1800,76,male,Hungary
673ef490-e099-4c4c-b853-2d82a69d016d,f9a019f118a779784b1ff127230b3a426d8381358624c8b623eb57b27c2f1389,You unexpectedly received 60000.0 HUF. How much of this amount would you donate to a good cause? Please answer with a single number.,20000.0,Donation 60000.0,76,male,Hungary
