Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
c75c3473-3707-4c17-aec1-da7a4ba4a4e4,0af39b5dbed0d387dcabc068ff156adb293ac98c6df01f22e9aa4e0317d00125,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",5,Willingness to take risk,72,female,Algeria
c75c3473-3707-4c17-aec1-da7a4ba4a4e4,0af39b5dbed0d387dcabc068ff156adb293ac98c6df01f22e9aa4e0317d00125,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,72,female,Algeria
c75c3473-3707-4c17-aec1-da7a4ba4a4e4,0af39b5dbed0d387dcabc068ff156adb293ac98c6df01f22e9aa4e0317d00125,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,72,female,Algeria
c75c3473-3707-4c17-aec1-da7a4ba4a4e4,0af39b5dbed0d387dcabc068ff156adb293ac98c6df01f22e9aa4e0317d00125,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,72,female,Algeria
c75c3473-3707-4c17-aec1-da7a4ba4a4e4,0af39b5dbed0d387dcabc068ff156adb293ac98c6df01f22e9aa4e0317d00125,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,72,female,Algeria
c75c3473-3707-4c17-aec1-da7a4ba4a4e4,0af39b5dbed0d387dcabc068ff156adb293ac98c6df01f22e9aa4e0317d00125,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",9,Will return favor,72,female,Algeria
c75c3473-3707-4c17-aec1-da7a4ba4a4e4,0af39b5dbed0d387dcabc068ff156adb293ac98c6df01f22e9aa4e0317d00125,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,72,female,Algeria
c75c3473-3707-4c17-aec1-da7a4ba4a4e4,0af39b5dbed0d387dcabc068ff156adb293ac98c6df01f22e9aa4e0317d00125,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,72,female,Algeria
c75c3473-3707-4c17-aec1-da7a4ba4a4e4,0af39b5dbed0d387dcabc068ff156adb293ac98c6df01f22e9aa4e0317d00125,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,4,Good at math,72,female,Algeria
c75c3473-3707-4c17-aec1-da7a4ba4a4e4,0af39b5dbed0d387dcabc068ff156adb293ac98c6df01f22e9aa4e0317d00125,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,72,female,Algeria
