Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
2ab302c1-9451-47b3-a31f-4b229aa2f4c7,327e493ecf0ad77bab7d6ccaf5cf9600398a6d50bba90994c32ca648351dbcb6,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",6,Willingness to take risk,21,male,China
2ab302c1-9451-47b3-a31f-4b229aa2f4c7,327e493ecf0ad77bab7d6ccaf5cf9600398a6d50bba90994c32ca648351dbcb6,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,21,male,China
2ab302c1-9451-47b3-a31f-4b229aa2f4c7,327e493ecf0ad77bab7d6ccaf5cf9600398a6d50bba90994c32ca648351dbcb6,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,21,male,China
2ab302c1-9451-47b3-a31f-4b229aa2f4c7,327e493ecf0ad77bab7d6ccaf5cf9600398a6d50bba90994c32ca648351dbcb6,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,21,male,China
2ab302c1-9451-47b3-a31f-4b229aa2f4c7,327e493ecf0ad77bab7d6ccaf5cf9600398a6d50bba90994c32ca648351dbcb6,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,21,male,China
2ab302c1-9451-47b3-a31f-4b229aa2f4c7,327e493ecf0ad77bab7d6ccaf5cf9600398a6d50bba90994c32ca648351dbcb6,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,21,male,China
2ab302c1-9451-47b3-a31f-4b229aa2f4c7,327e493ecf0ad77bab7d6ccaf5cf9600398a6d50bba90994c32ca648351dbcb6,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",6,Will do revenge,21,male,China
2ab302c1-9451-47b3-a31f-4b229aa2f4c7,327e493ecf0ad77bab7d6ccaf5cf9600398a6d50bba90994c32ca648351dbcb6,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,21,male,China
2ab302c1-9451-47b3-a31f-4b229aa2f4c7,327e493ecf0ad77bab7d6ccaf5cf9600398a6d50bba90994c32ca648351dbcb6,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,21,male,China
2ab302c1-9451-47b3-a31f-4b229aa2f4c7,327e493ecf0ad77bab7d6ccaf5cf9600398a6d50bba90994c32ca648351dbcb6,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,21,male,China
2ab302c1-9451-47b3-a31f-4b229aa2f4c7,327e493ecf0ad77bab7d6ccaf5cf9600398a6d50bba90994c32ca648351dbcb6,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,21,male,China
2ab302c1-9451-47b3-a31f-4b229aa2f4c7,327e493ecf0ad77bab7d6ccaf5cf9600398a6d50bba90994c32ca648351dbcb6,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,21,male,China
2ab302c1-9451-47b3-a31f-4b229aa2f4c7,327e493ecf0ad77bab7d6ccaf5cf9600398a6d50bba90994c32ca648351dbcb6,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 CNY and the same 50-percent chance of receiving nothing, OR Option 2: 10 CNY as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0,Risk 10,21,male,China
2ab302c1-9451-47b3-a31f-4b229aa2f4c7,327e493ecf0ad77bab7d6ccaf5cf9600398a6d50bba90994c32ca648351dbcb6,What would you prefer? Option 1: A payment of 100 CNY today OR Option 2: 112.4 CNY in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,3,Delay 112.4,21,male,China
2ab302c1-9451-47b3-a31f-4b229aa2f4c7,327e493ecf0ad77bab7d6ccaf5cf9600398a6d50bba90994c32ca648351dbcb6,Imagine someone did you a favor that cost them 4 CNY. How much would you be willing to spend to return the favor? Please answer with a single number.,150.0,Reciprocation 4,21,male,China
2ab302c1-9451-47b3-a31f-4b229aa2f4c7,327e493ecf0ad77bab7d6ccaf5cf9600398a6d50bba90994c32ca648351dbcb6,Imagine someone did you a favor that cost them 8 CNY. How much would you be willing to spend to return the favor? Please answer with a single number.,125.0,Reciprocation 8,21,male,China
2ab302c1-9451-47b3-a31f-4b229aa2f4c7,327e493ecf0ad77bab7d6ccaf5cf9600398a6d50bba90994c32ca648351dbcb6,Imagine someone did you a favor that cost them 12 CNY. How much would you be willing to spend to return the favor? Please answer with a single number.,150.0,Reciprocation 12,21,male,China
2ab302c1-9451-47b3-a31f-4b229aa2f4c7,327e493ecf0ad77bab7d6ccaf5cf9600398a6d50bba90994c32ca648351dbcb6,Imagine someone did you a favor that cost them 16 CNY. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 16,21,male,China
