Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
5a66d54a-c8ee-4af4-bb13-28969de6a007,5708624dec36488f8504a6c2fab10de2a44f546c62b2a8e5a898338961bfcb32,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",6,Willingness to take risk,39,female,Ghana
5a66d54a-c8ee-4af4-bb13-28969de6a007,5708624dec36488f8504a6c2fab10de2a44f546c62b2a8e5a898338961bfcb32,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,39,female,Ghana
5a66d54a-c8ee-4af4-bb13-28969de6a007,5708624dec36488f8504a6c2fab10de2a44f546c62b2a8e5a898338961bfcb32,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,39,female,Ghana
5a66d54a-c8ee-4af4-bb13-28969de6a007,5708624dec36488f8504a6c2fab10de2a44f546c62b2a8e5a898338961bfcb32,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,39,female,Ghana
5a66d54a-c8ee-4af4-bb13-28969de6a007,5708624dec36488f8504a6c2fab10de2a44f546c62b2a8e5a898338961bfcb32,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,39,female,Ghana
5a66d54a-c8ee-4af4-bb13-28969de6a007,5708624dec36488f8504a6c2fab10de2a44f546c62b2a8e5a898338961bfcb32,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,39,female,Ghana
5a66d54a-c8ee-4af4-bb13-28969de6a007,5708624dec36488f8504a6c2fab10de2a44f546c62b2a8e5a898338961bfcb32,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,39,female,Ghana
5a66d54a-c8ee-4af4-bb13-28969de6a007,5708624dec36488f8504a6c2fab10de2a44f546c62b2a8e5a898338961bfcb32,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,39,female,Ghana
5a66d54a-c8ee-4af4-bb13-28969de6a007,5708624dec36488f8504a6c2fab10de2a44f546c62b2a8e5a898338961bfcb32,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,39,female,Ghana
5a66d54a-c8ee-4af4-bb13-28969de6a007,5708624dec36488f8504a6c2fab10de2a44f546c62b2a8e5a898338961bfcb32,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,39,female,Ghana
5a66d54a-c8ee-4af4-bb13-28969de6a007,5708624dec36488f8504a6c2fab10de2a44f546c62b2a8e5a898338961bfcb32,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,39,female,Ghana
5a66d54a-c8ee-4af4-bb13-28969de6a007,5708624dec36488f8504a6c2fab10de2a44f546c62b2a8e5a898338961bfcb32,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,39,female,Ghana
5a66d54a-c8ee-4af4-bb13-28969de6a007,5708624dec36488f8504a6c2fab10de2a44f546c62b2a8e5a898338961bfcb32,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 30 GHS and the same 50-percent chance of receiving nothing, OR Option 2: 1 GHS as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0,Risk 1,39,female,Ghana
5a66d54a-c8ee-4af4-bb13-28969de6a007,5708624dec36488f8504a6c2fab10de2a44f546c62b2a8e5a898338961bfcb32,What would you prefer? Option 1: A payment of 10 GHS today OR Option 2: 10.3 GHS in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,0,Delay 10.3,39,female,Ghana
5a66d54a-c8ee-4af4-bb13-28969de6a007,5708624dec36488f8504a6c2fab10de2a44f546c62b2a8e5a898338961bfcb32,Imagine someone did you a favor that cost them 1 GHS. How much would you be willing to spend to return the favor? Please answer with a single number.,200.0,Reciprocation 1,39,female,Ghana
5a66d54a-c8ee-4af4-bb13-28969de6a007,5708624dec36488f8504a6c2fab10de2a44f546c62b2a8e5a898338961bfcb32,Imagine someone did you a favor that cost them 2 GHS. How much would you be willing to spend to return the favor? Please answer with a single number.,200.0,Reciprocation 2,39,female,Ghana
5a66d54a-c8ee-4af4-bb13-28969de6a007,5708624dec36488f8504a6c2fab10de2a44f546c62b2a8e5a898338961bfcb32,Imagine someone did you a favor that cost them 3 GHS. How much would you be willing to spend to return the favor? Please answer with a single number.,166.66666666666669,Reciprocation 3,39,female,Ghana
5a66d54a-c8ee-4af4-bb13-28969de6a007,5708624dec36488f8504a6c2fab10de2a44f546c62b2a8e5a898338961bfcb32,Imagine someone did you a favor that cost them 4 GHS. How much would you be willing to spend to return the favor? Please answer with a single number.,200.0,Reciprocation 4,39,female,Ghana
5a66d54a-c8ee-4af4-bb13-28969de6a007,5708624dec36488f8504a6c2fab10de2a44f546c62b2a8e5a898338961bfcb32,Imagine someone did you a favor that cost them 4 GHS. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 4,39,female,Ghana
5a66d54a-c8ee-4af4-bb13-28969de6a007,5708624dec36488f8504a6c2fab10de2a44f546c62b2a8e5a898338961bfcb32,Imagine someone did you a favor that cost them 5 GHS. How much would you be willing to spend to return the favor? Please answer with a single number.,140.0,Reciprocation 5,39,female,Ghana
5a66d54a-c8ee-4af4-bb13-28969de6a007,5708624dec36488f8504a6c2fab10de2a44f546c62b2a8e5a898338961bfcb32,Imagine someone did you a favor that cost them 6 GHS. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 6,39,female,Ghana
5a66d54a-c8ee-4af4-bb13-28969de6a007,5708624dec36488f8504a6c2fab10de2a44f546c62b2a8e5a898338961bfcb32,You unexpectedly received 60.0 GHS. How much of this amount would you donate to a good cause? Please answer with a single number.,33.33333333333333,Donation 60.0,39,female,Ghana
184af3f2-3f3c-4990-91e5-a1e38c19ef01,ebcbb97a6001a909aa483ccd448db42beda5ef92e09a76977ce0d0e46b1547f8,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",7,Willingness to take risk,36,male,Ghana
