Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
650ce8c5-bd79-49b5-b7c0-d90c202a6b0d,93128d32e03e89407ad62e3d924f3b7f32003ffa28f39fba78d6da5e705ecc90,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",5,Willingness to take risk,66,female,Peru
650ce8c5-bd79-49b5-b7c0-d90c202a6b0d,93128d32e03e89407ad62e3d924f3b7f32003ffa28f39fba78d6da5e705ecc90,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,66,female,Peru
650ce8c5-bd79-49b5-b7c0-d90c202a6b0d,93128d32e03e89407ad62e3d924f3b7f32003ffa28f39fba78d6da5e705ecc90,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,66,female,Peru
650ce8c5-bd79-49b5-b7c0-d90c202a6b0d,93128d32e03e89407ad62e3d924f3b7f32003ffa28f39fba78d6da5e705ecc90,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,66,female,Peru
650ce8c5-bd79-49b5-b7c0-d90c202a6b0d,93128d32e03e89407ad62e3d924f3b7f32003ffa28f39fba78d6da5e705ecc90,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,66,female,Peru
650ce8c5-bd79-49b5-b7c0-d90c202a6b0d,93128d32e03e89407ad62e3d924f3b7f32003ffa28f39fba78d6da5e705ecc90,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,66,female,Peru
650ce8c5-bd79-49b5-b7c0-d90c202a6b0d,93128d32e03e89407ad62e3d924f3b7f32003ffa28f39fba78d6da5e705ecc90,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,66,female,Peru
650ce8c5-bd79-49b5-b7c0-d90c202a6b0d,93128d32e03e89407ad62e3d924f3b7f32003ffa28f39fba78d6da5e705ecc90,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,66,female,Peru
650ce8c5-bd79-49b5-b7c0-d90c202a6b0d,93128d32e03e89407ad62e3d924f3b7f32003ffa28f39fba78d6da5e705ecc90,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,5,Good at math,66,female,Peru
650ce8c5-bd79-49b5-b7c0-d90c202a6b0d,93128d32e03e89407ad62e3d924f3b7f32003ffa28f39fba78d6da5e705ecc90,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,66,female,Peru
650ce8c5-bd79-49b5-b7c0-d90c202a6b0d,93128d32e03e89407ad62e3d924f3b7f32003ffa28f39fba78d6da5e705ecc90,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,66,female,Peru
650ce8c5-bd79-49b5-b7c0-d90c202a6b0d,93128d32e03e89407ad62e3d924f3b7f32003ffa28f39fba78d6da5e705ecc90,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,66,female,Peru
650ce8c5-bd79-49b5-b7c0-d90c202a6b0d,93128d32e03e89407ad62e3d924f3b7f32003ffa28f39fba78d6da5e705ecc90,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 PEN and the same 50-percent chance of receiving nothing, OR Option 2: 5 PEN as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0,Risk 5,66,female,Peru
650ce8c5-bd79-49b5-b7c0-d90c202a6b0d,93128d32e03e89407ad62e3d924f3b7f32003ffa28f39fba78d6da5e705ecc90,What would you prefer? Option 1: A payment of 30 PEN today OR Option 2: 34.68 PEN in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,4,Delay 34.68,66,female,Peru
650ce8c5-bd79-49b5-b7c0-d90c202a6b0d,93128d32e03e89407ad62e3d924f3b7f32003ffa28f39fba78d6da5e705ecc90,Imagine someone did you a favor that cost them 2 PEN. How much would you be willing to spend to return the favor? Please answer with a single number.,150.0,Reciprocation 2,66,female,Peru
650ce8c5-bd79-49b5-b7c0-d90c202a6b0d,93128d32e03e89407ad62e3d924f3b7f32003ffa28f39fba78d6da5e705ecc90,Imagine someone did you a favor that cost them 4 PEN. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 4,66,female,Peru
650ce8c5-bd79-49b5-b7c0-d90c202a6b0d,93128d32e03e89407ad62e3d924f3b7f32003ffa28f39fba78d6da5e705ecc90,Imagine someone did you a favor that cost them 6 PEN. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 6,66,female,Peru
650ce8c5-bd79-49b5-b7c0-d90c202a6b0d,93128d32e03e89407ad62e3d924f3b7f32003ffa28f39fba78d6da5e705ecc90,Imagine someone did you a favor that cost them 8 PEN. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 8,66,female,Peru
650ce8c5-bd79-49b5-b7c0-d90c202a6b0d,93128d32e03e89407ad62e3d924f3b7f32003ffa28f39fba78d6da5e705ecc90,Imagine someone did you a favor that cost them 8 PEN. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 8,66,female,Peru
650ce8c5-bd79-49b5-b7c0-d90c202a6b0d,93128d32e03e89407ad62e3d924f3b7f32003ffa28f39fba78d6da5e705ecc90,Imagine someone did you a favor that cost them 10 PEN. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 10,66,female,Peru
650ce8c5-bd79-49b5-b7c0-d90c202a6b0d,93128d32e03e89407ad62e3d924f3b7f32003ffa28f39fba78d6da5e705ecc90,Imagine someone did you a favor that cost them 12 PEN. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 12,66,female,Peru
650ce8c5-bd79-49b5-b7c0-d90c202a6b0d,93128d32e03e89407ad62e3d924f3b7f32003ffa28f39fba78d6da5e705ecc90,You unexpectedly received 300.0 PEN. How much of this amount would you donate to a good cause? Please answer with a single number.,33.33333333333333,Donation 300.0,66,female,Peru
b64f25d3-00dd-4925-99df-232061dc2a01,ffde59de2cd78af22537bb562e8c707d4fca416de2aeac5e1e89613fa547f3a3,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",4,Willingness to take risk,74,male,Peru
b64f25d3-00dd-4925-99df-232061dc2a01,ffde59de2cd78af22537bb562e8c707d4fca416de2aeac5e1e89613fa547f3a3,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,74,male,Peru
b64f25d3-00dd-4925-99df-232061dc2a01,ffde59de2cd78af22537bb562e8c707d4fca416de2aeac5e1e89613fa547f3a3,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,74,male,Peru
b64f25d3-00dd-4925-99df-232061dc2a01,ffde59de2cd78af22537bb562e8c707d4fca416de2aeac5e1e89613fa547f3a3,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,74,male,Peru
b64f25d3-00dd-4925-99df-232061dc2a01,ffde59de2cd78af22537bb562e8c707d4fca416de2aeac5e1e89613fa547f3a3,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,74,male,Peru
b64f25d3-00dd-4925-99df-232061dc2a01,ffde59de2cd78af22537bb562e8c707d4fca416de2aeac5e1e89613fa547f3a3,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,74,male,Peru
b64f25d3-00dd-4925-99df-232061dc2a01,ffde59de2cd78af22537bb562e8c707d4fca416de2aeac5e1e89613fa547f3a3,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",2,Will do revenge,74,male,Peru
b64f25d3-00dd-4925-99df-232061dc2a01,ffde59de2cd78af22537bb562e8c707d4fca416de2aeac5e1e89613fa547f3a3,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,74,male,Peru
b64f25d3-00dd-4925-99df-232061dc2a01,ffde59de2cd78af22537bb562e8c707d4fca416de2aeac5e1e89613fa547f3a3,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,5,Good at math,74,male,Peru
b64f25d3-00dd-4925-99df-232061dc2a01,ffde59de2cd78af22537bb562e8c707d4fca416de2aeac5e1e89613fa547f3a3,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,74,male,Peru
b64f25d3-00dd-4925-99df-232061dc2a01,ffde59de2cd78af22537bb562e8c707d4fca416de2aeac5e1e89613fa547f3a3,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,74,male,Peru
b64f25d3-00dd-4925-99df-232061dc2a01,ffde59de2cd78af22537bb562e8c707d4fca416de2aeac5e1e89613fa547f3a3,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,74,male,Peru
b64f25d3-00dd-4925-99df-232061dc2a01,ffde59de2cd78af22537bb562e8c707d4fca416de2aeac5e1e89613fa547f3a3,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 PEN and the same 50-percent chance of receiving nothing, OR Option 2: 5 PEN as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0,Risk 5,74,male,Peru
b64f25d3-00dd-4925-99df-232061dc2a01,ffde59de2cd78af22537bb562e8c707d4fca416de2aeac5e1e89613fa547f3a3,What would you prefer? Option 1: A payment of 30 PEN today OR Option 2: 32.760000000000005 PEN in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,2,Delay 32.760000000000005,74,male,Peru
b64f25d3-00dd-4925-99df-232061dc2a01,ffde59de2cd78af22537bb562e8c707d4fca416de2aeac5e1e89613fa547f3a3,Imagine someone did you a favor that cost them 2 PEN. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 2,74,male,Peru
b64f25d3-00dd-4925-99df-232061dc2a01,ffde59de2cd78af22537bb562e8c707d4fca416de2aeac5e1e89613fa547f3a3,Imagine someone did you a favor that cost them 4 PEN. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 4,74,male,Peru
b64f25d3-00dd-4925-99df-232061dc2a01,ffde59de2cd78af22537bb562e8c707d4fca416de2aeac5e1e89613fa547f3a3,Imagine someone did you a favor that cost them 6 PEN. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 6,74,male,Peru
b64f25d3-00dd-4925-99df-232061dc2a01,ffde59de2cd78af22537bb562e8c707d4fca416de2aeac5e1e89613fa547f3a3,Imagine someone did you a favor that cost them 8 PEN. How much would you be willing to spend to return the favor? Please answer with a single number.,125.0,Reciprocation 8,74,male,Peru
b64f25d3-00dd-4925-99df-232061dc2a01,ffde59de2cd78af22537bb562e8c707d4fca416de2aeac5e1e89613fa547f3a3,Imagine someone did you a favor that cost them 8 PEN. How much would you be willing to spend to return the favor? Please answer with a single number.,125.0,Reciprocation 8,74,male,Peru
b64f25d3-00dd-4925-99df-232061dc2a01,ffde59de2cd78af22537bb562e8c707d4fca416de2aeac5e1e89613fa547f3a3,Imagine someone did you a favor that cost them 10 PEN. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 10,74,male,Peru
b64f25d3-00dd-4925-99df-232061dc2a01,ffde59de2cd78af22537bb562e8c707d4fca416de2aeac5e1e89613fa547f3a3,Imagine someone did you a favor that cost them 12 PEN. How much would you be willing to spend to return the favor? Please answer with a single number.,125.0,Reciprocation 12,74,male,Peru
b64f25d3-00dd-4925-99df-232061dc2a01,ffde59de2cd78af22537bb562e8c707d4fca416de2aeac5e1e89613fa547f3a3,You unexpectedly received 300.0 PEN. How much of this amount would you donate to a good cause? Please answer with a single number.,50.0,Donation 300.0,74,male,Peru
