Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
6cc2fdce-4b61-416a-8345-a41669e3e166,13156c99bea2d3a194af6152b2494920c1d90841fd350ef09cd2ef16359665cd,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",6,Willingness to take risk,34,female,Switzerland
6cc2fdce-4b61-416a-8345-a41669e3e166,13156c99bea2d3a194af6152b2494920c1d90841fd350ef09cd2ef16359665cd,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,34,female,Switzerland
6cc2fdce-4b61-416a-8345-a41669e3e166,13156c99bea2d3a194af6152b2494920c1d90841fd350ef09cd2ef16359665cd,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,34,female,Switzerland
6cc2fdce-4b61-416a-8345-a41669e3e166,13156c99bea2d3a194af6152b2494920c1d90841fd350ef09cd2ef16359665cd,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,34,female,Switzerland
6cc2fdce-4b61-416a-8345-a41669e3e166,13156c99bea2d3a194af6152b2494920c1d90841fd350ef09cd2ef16359665cd,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,34,female,Switzerland
6cc2fdce-4b61-416a-8345-a41669e3e166,13156c99bea2d3a194af6152b2494920c1d90841fd350ef09cd2ef16359665cd,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,34,female,Switzerland
6cc2fdce-4b61-416a-8345-a41669e3e166,13156c99bea2d3a194af6152b2494920c1d90841fd350ef09cd2ef16359665cd,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,34,female,Switzerland
6cc2fdce-4b61-416a-8345-a41669e3e166,13156c99bea2d3a194af6152b2494920c1d90841fd350ef09cd2ef16359665cd,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,34,female,Switzerland
6cc2fdce-4b61-416a-8345-a41669e3e166,13156c99bea2d3a194af6152b2494920c1d90841fd350ef09cd2ef16359665cd,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,34,female,Switzerland
6cc2fdce-4b61-416a-8345-a41669e3e166,13156c99bea2d3a194af6152b2494920c1d90841fd350ef09cd2ef16359665cd,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,34,female,Switzerland
