Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
8737c799-cb2e-4b67-a4ee-4dc32ffaa006,0bae9e13b44d43a3ed774a2e2a46d65fd5b1d5053ddce9823d79243641f09b60,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",5,Willingness to take risk,57,male,Tanzania
8737c799-cb2e-4b67-a4ee-4dc32ffaa006,0bae9e13b44d43a3ed774a2e2a46d65fd5b1d5053ddce9823d79243641f09b60,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,57,male,Tanzania
8737c799-cb2e-4b67-a4ee-4dc32ffaa006,0bae9e13b44d43a3ed774a2e2a46d65fd5b1d5053ddce9823d79243641f09b60,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,57,male,Tanzania
8737c799-cb2e-4b67-a4ee-4dc32ffaa006,0bae9e13b44d43a3ed774a2e2a46d65fd5b1d5053ddce9823d79243641f09b60,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,57,male,Tanzania
8737c799-cb2e-4b67-a4ee-4dc32ffaa006,0bae9e13b44d43a3ed774a2e2a46d65fd5b1d5053ddce9823d79243641f09b60,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,57,male,Tanzania
8737c799-cb2e-4b67-a4ee-4dc32ffaa006,0bae9e13b44d43a3ed774a2e2a46d65fd5b1d5053ddce9823d79243641f09b60,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,57,male,Tanzania
8737c799-cb2e-4b67-a4ee-4dc32ffaa006,0bae9e13b44d43a3ed774a2e2a46d65fd5b1d5053ddce9823d79243641f09b60,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,57,male,Tanzania
8737c799-cb2e-4b67-a4ee-4dc32ffaa006,0bae9e13b44d43a3ed774a2e2a46d65fd5b1d5053ddce9823d79243641f09b60,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,57,male,Tanzania
8737c799-cb2e-4b67-a4ee-4dc32ffaa006,0bae9e13b44d43a3ed774a2e2a46d65fd5b1d5053ddce9823d79243641f09b60,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,57,male,Tanzania
8737c799-cb2e-4b67-a4ee-4dc32ffaa006,0bae9e13b44d43a3ed774a2e2a46d65fd5b1d5053ddce9823d79243641f09b60,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,57,male,Tanzania
