Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
0c53645e-2066-4622-9b9c-5893048206af,579e57bbc0456ee5d580b66bfcf431f790d6f1de27ff38322f92293957097b46,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",5,Willingness to take risk,67,male,United Kingdom
0c53645e-2066-4622-9b9c-5893048206af,579e57bbc0456ee5d580b66bfcf431f790d6f1de27ff38322f92293957097b46,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,67,male,United Kingdom
0c53645e-2066-4622-9b9c-5893048206af,579e57bbc0456ee5d580b66bfcf431f790d6f1de27ff38322f92293957097b46,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,67,male,United Kingdom
0c53645e-2066-4622-9b9c-5893048206af,579e57bbc0456ee5d580b66bfcf431f790d6f1de27ff38322f92293957097b46,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,67,male,United Kingdom
0c53645e-2066-4622-9b9c-5893048206af,579e57bbc0456ee5d580b66bfcf431f790d6f1de27ff38322f92293957097b46,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,67,male,United Kingdom
0c53645e-2066-4622-9b9c-5893048206af,579e57bbc0456ee5d580b66bfcf431f790d6f1de27ff38322f92293957097b46,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,67,male,United Kingdom
0c53645e-2066-4622-9b9c-5893048206af,579e57bbc0456ee5d580b66bfcf431f790d6f1de27ff38322f92293957097b46,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",2,Will do revenge,67,male,United Kingdom
0c53645e-2066-4622-9b9c-5893048206af,579e57bbc0456ee5d580b66bfcf431f790d6f1de27ff38322f92293957097b46,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,67,male,United Kingdom
0c53645e-2066-4622-9b9c-5893048206af,579e57bbc0456ee5d580b66bfcf431f790d6f1de27ff38322f92293957097b46,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,67,male,United Kingdom
0c53645e-2066-4622-9b9c-5893048206af,579e57bbc0456ee5d580b66bfcf431f790d6f1de27ff38322f92293957097b46,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,67,male,United Kingdom
0c53645e-2066-4622-9b9c-5893048206af,579e57bbc0456ee5d580b66bfcf431f790d6f1de27ff38322f92293957097b46,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,67,male,United Kingdom
0c53645e-2066-4622-9b9c-5893048206af,579e57bbc0456ee5d580b66bfcf431f790d6f1de27ff38322f92293957097b46,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",800,Donate,67,male,United Kingdom
0c53645e-2066-4622-9b9c-5893048206af,579e57bbc0456ee5d580b66bfcf431f790d6f1de27ff38322f92293957097b46,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 GBP and the same 50-percent chance of receiving nothing, OR Option 2: 5 GBP as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0,Risk 5,67,male,United Kingdom
0c53645e-2066-4622-9b9c-5893048206af,579e57bbc0456ee5d580b66bfcf431f790d6f1de27ff38322f92293957097b46,What would you prefer? Option 1: A payment of 100 GBP today OR Option 2: 106.1 GBP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,1,Delay 106.1,67,male,United Kingdom
0c53645e-2066-4622-9b9c-5893048206af,579e57bbc0456ee5d580b66bfcf431f790d6f1de27ff38322f92293957097b46,Imagine someone did you a favor that cost them 3 GBP. How much would you be willing to spend to return the favor? Please answer with a single number.,166.66666666666669,Reciprocation 3,67,male,United Kingdom
0c53645e-2066-4622-9b9c-5893048206af,579e57bbc0456ee5d580b66bfcf431f790d6f1de27ff38322f92293957097b46,Imagine someone did you a favor that cost them 6 GBP. How much would you be willing to spend to return the favor? Please answer with a single number.,166.66666666666669,Reciprocation 6,67,male,United Kingdom
0c53645e-2066-4622-9b9c-5893048206af,579e57bbc0456ee5d580b66bfcf431f790d6f1de27ff38322f92293957097b46,Imagine someone did you a favor that cost them 9 GBP. How much would you be willing to spend to return the favor? Please answer with a single number.,133.33333333333331,Reciprocation 9,67,male,United Kingdom
0c53645e-2066-4622-9b9c-5893048206af,579e57bbc0456ee5d580b66bfcf431f790d6f1de27ff38322f92293957097b46,Imagine someone did you a favor that cost them 12 GBP. How much would you be willing to spend to return the favor? Please answer with a single number.,125.0,Reciprocation 12,67,male,United Kingdom
0c53645e-2066-4622-9b9c-5893048206af,579e57bbc0456ee5d580b66bfcf431f790d6f1de27ff38322f92293957097b46,Imagine someone did you a favor that cost them 12 GBP. How much would you be willing to spend to return the favor? Please answer with a single number.,125.0,Reciprocation 12,67,male,United Kingdom
0c53645e-2066-4622-9b9c-5893048206af,579e57bbc0456ee5d580b66bfcf431f790d6f1de27ff38322f92293957097b46,Imagine someone did you a favor that cost them 15 GBP. How much would you be willing to spend to return the favor? Please answer with a single number.,133.33333333333331,Reciprocation 15,67,male,United Kingdom
0c53645e-2066-4622-9b9c-5893048206af,579e57bbc0456ee5d580b66bfcf431f790d6f1de27ff38322f92293957097b46,Imagine someone did you a favor that cost them 18 GBP. How much would you be willing to spend to return the favor? Please answer with a single number.,111.11111111111111,Reciprocation 18,67,male,United Kingdom
0c53645e-2066-4622-9b9c-5893048206af,579e57bbc0456ee5d580b66bfcf431f790d6f1de27ff38322f92293957097b46,You unexpectedly received 700.0 GBP. How much of this amount would you donate to a good cause? Please answer with a single number.,14.285714285714285,Donation 700.0,67,male,United Kingdom
220c863f-6870-4a27-a5db-69915a92b921,edbcb504bca87d4d0485fe8f024a14d72af59aee1c3be8a7d14880398eabdf37,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",5,Willingness to take risk,53,female,United Kingdom
220c863f-6870-4a27-a5db-69915a92b921,edbcb504bca87d4d0485fe8f024a14d72af59aee1c3be8a7d14880398eabdf37,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,53,female,United Kingdom
220c863f-6870-4a27-a5db-69915a92b921,edbcb504bca87d4d0485fe8f024a14d72af59aee1c3be8a7d14880398eabdf37,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,53,female,United Kingdom
220c863f-6870-4a27-a5db-69915a92b921,edbcb504bca87d4d0485fe8f024a14d72af59aee1c3be8a7d14880398eabdf37,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,53,female,United Kingdom
220c863f-6870-4a27-a5db-69915a92b921,edbcb504bca87d4d0485fe8f024a14d72af59aee1c3be8a7d14880398eabdf37,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,53,female,United Kingdom
220c863f-6870-4a27-a5db-69915a92b921,edbcb504bca87d4d0485fe8f024a14d72af59aee1c3be8a7d14880398eabdf37,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,53,female,United Kingdom
220c863f-6870-4a27-a5db-69915a92b921,edbcb504bca87d4d0485fe8f024a14d72af59aee1c3be8a7d14880398eabdf37,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,53,female,United Kingdom
220c863f-6870-4a27-a5db-69915a92b921,edbcb504bca87d4d0485fe8f024a14d72af59aee1c3be8a7d14880398eabdf37,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,53,female,United Kingdom
220c863f-6870-4a27-a5db-69915a92b921,edbcb504bca87d4d0485fe8f024a14d72af59aee1c3be8a7d14880398eabdf37,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,53,female,United Kingdom
220c863f-6870-4a27-a5db-69915a92b921,edbcb504bca87d4d0485fe8f024a14d72af59aee1c3be8a7d14880398eabdf37,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,6,Procrastinate,53,female,United Kingdom
220c863f-6870-4a27-a5db-69915a92b921,edbcb504bca87d4d0485fe8f024a14d72af59aee1c3be8a7d14880398eabdf37,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,53,female,United Kingdom
220c863f-6870-4a27-a5db-69915a92b921,edbcb504bca87d4d0485fe8f024a14d72af59aee1c3be8a7d14880398eabdf37,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,53,female,United Kingdom
220c863f-6870-4a27-a5db-69915a92b921,edbcb504bca87d4d0485fe8f024a14d72af59aee1c3be8a7d14880398eabdf37,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 GBP and the same 50-percent chance of receiving nothing, OR Option 2: 5 GBP as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0,Risk 5,53,female,United Kingdom
220c863f-6870-4a27-a5db-69915a92b921,edbcb504bca87d4d0485fe8f024a14d72af59aee1c3be8a7d14880398eabdf37,What would you prefer? Option 1: A payment of 100 GBP today OR Option 2: 112.4 GBP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,3,Delay 112.4,53,female,United Kingdom
220c863f-6870-4a27-a5db-69915a92b921,edbcb504bca87d4d0485fe8f024a14d72af59aee1c3be8a7d14880398eabdf37,Imagine someone did you a favor that cost them 3 GBP. How much would you be willing to spend to return the favor? Please answer with a single number.,166.66666666666669,Reciprocation 3,53,female,United Kingdom
220c863f-6870-4a27-a5db-69915a92b921,edbcb504bca87d4d0485fe8f024a14d72af59aee1c3be8a7d14880398eabdf37,Imagine someone did you a favor that cost them 6 GBP. How much would you be willing to spend to return the favor? Please answer with a single number.,133.33333333333331,Reciprocation 6,53,female,United Kingdom
220c863f-6870-4a27-a5db-69915a92b921,edbcb504bca87d4d0485fe8f024a14d72af59aee1c3be8a7d14880398eabdf37,Imagine someone did you a favor that cost them 9 GBP. How much would you be willing to spend to return the favor? Please answer with a single number.,111.11111111111111,Reciprocation 9,53,female,United Kingdom
220c863f-6870-4a27-a5db-69915a92b921,edbcb504bca87d4d0485fe8f024a14d72af59aee1c3be8a7d14880398eabdf37,Imagine someone did you a favor that cost them 12 GBP. How much would you be willing to spend to return the favor? Please answer with a single number.,125.0,Reciprocation 12,53,female,United Kingdom
220c863f-6870-4a27-a5db-69915a92b921,edbcb504bca87d4d0485fe8f024a14d72af59aee1c3be8a7d14880398eabdf37,Imagine someone did you a favor that cost them 12 GBP. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 12,53,female,United Kingdom
220c863f-6870-4a27-a5db-69915a92b921,edbcb504bca87d4d0485fe8f024a14d72af59aee1c3be8a7d14880398eabdf37,Imagine someone did you a favor that cost them 15 GBP. How much would you be willing to spend to return the favor? Please answer with a single number.,133.33333333333331,Reciprocation 15,53,female,United Kingdom
220c863f-6870-4a27-a5db-69915a92b921,edbcb504bca87d4d0485fe8f024a14d72af59aee1c3be8a7d14880398eabdf37,Imagine someone did you a favor that cost them 18 GBP. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 18,53,female,United Kingdom
220c863f-6870-4a27-a5db-69915a92b921,edbcb504bca87d4d0485fe8f024a14d72af59aee1c3be8a7d14880398eabdf37,You unexpectedly received 700.0 GBP. How much of this amount would you donate to a good cause? Please answer with a single number.,14.285714285714285,Donation 700.0,53,female,United Kingdom
