Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
0dd59e7c-b42a-4c63-8580-1793285e81ed,8a71e4dec244254d5fe062c87014fda630c8965fbc995a1508daeea90a782a74,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",7,Willingness to take risk,26,female,Venezuela
0dd59e7c-b42a-4c63-8580-1793285e81ed,8a71e4dec244254d5fe062c87014fda630c8965fbc995a1508daeea90a782a74,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,26,female,Venezuela
0dd59e7c-b42a-4c63-8580-1793285e81ed,8a71e4dec244254d5fe062c87014fda630c8965fbc995a1508daeea90a782a74,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,26,female,Venezuela
0dd59e7c-b42a-4c63-8580-1793285e81ed,8a71e4dec244254d5fe062c87014fda630c8965fbc995a1508daeea90a782a74,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,26,female,Venezuela
0dd59e7c-b42a-4c63-8580-1793285e81ed,8a71e4dec244254d5fe062c87014fda630c8965fbc995a1508daeea90a782a74,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,26,female,Venezuela
0dd59e7c-b42a-4c63-8580-1793285e81ed,8a71e4dec244254d5fe062c87014fda630c8965fbc995a1508daeea90a782a74,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",9,Will return favor,26,female,Venezuela
0dd59e7c-b42a-4c63-8580-1793285e81ed,8a71e4dec244254d5fe062c87014fda630c8965fbc995a1508daeea90a782a74,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",5,Will do revenge,26,female,Venezuela
0dd59e7c-b42a-4c63-8580-1793285e81ed,8a71e4dec244254d5fe062c87014fda630c8965fbc995a1508daeea90a782a74,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,26,female,Venezuela
0dd59e7c-b42a-4c63-8580-1793285e81ed,8a71e4dec244254d5fe062c87014fda630c8965fbc995a1508daeea90a782a74,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,26,female,Venezuela
0dd59e7c-b42a-4c63-8580-1793285e81ed,8a71e4dec244254d5fe062c87014fda630c8965fbc995a1508daeea90a782a74,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,26,female,Venezuela
0dd59e7c-b42a-4c63-8580-1793285e81ed,8a71e4dec244254d5fe062c87014fda630c8965fbc995a1508daeea90a782a74,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,26,female,Venezuela
0dd59e7c-b42a-4c63-8580-1793285e81ed,8a71e4dec244254d5fe062c87014fda630c8965fbc995a1508daeea90a782a74,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,26,female,Venezuela
0dd59e7c-b42a-4c63-8580-1793285e81ed,8a71e4dec244254d5fe062c87014fda630c8965fbc995a1508daeea90a782a74,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 150 VES and the same 50-percent chance of receiving nothing, OR Option 2: 5 VES as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0,Risk 5,26,female,Venezuela
0dd59e7c-b42a-4c63-8580-1793285e81ed,8a71e4dec244254d5fe062c87014fda630c8965fbc995a1508daeea90a782a74,What would you prefer? Option 1: A payment of 100 VES today OR Option 2: 109.2 VES in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,2,Delay 109.2,26,female,Venezuela
0dd59e7c-b42a-4c63-8580-1793285e81ed,8a71e4dec244254d5fe062c87014fda630c8965fbc995a1508daeea90a782a74,Imagine someone did you a favor that cost them 3 VES. How much would you be willing to spend to return the favor? Please answer with a single number.,166.66666666666669,Reciprocation 3,26,female,Venezuela
0dd59e7c-b42a-4c63-8580-1793285e81ed,8a71e4dec244254d5fe062c87014fda630c8965fbc995a1508daeea90a782a74,Imagine someone did you a favor that cost them 6 VES. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 6,26,female,Venezuela
0dd59e7c-b42a-4c63-8580-1793285e81ed,8a71e4dec244254d5fe062c87014fda630c8965fbc995a1508daeea90a782a74,Imagine someone did you a favor that cost them 9 VES. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 9,26,female,Venezuela
0dd59e7c-b42a-4c63-8580-1793285e81ed,8a71e4dec244254d5fe062c87014fda630c8965fbc995a1508daeea90a782a74,Imagine someone did you a favor that cost them 12 VES. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 12,26,female,Venezuela
0dd59e7c-b42a-4c63-8580-1793285e81ed,8a71e4dec244254d5fe062c87014fda630c8965fbc995a1508daeea90a782a74,Imagine someone did you a favor that cost them 12 VES. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 12,26,female,Venezuela
