Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
8f09eb2a-ddee-4bff-a714-e980dd1425e3,861ab90ff7bfa9f05dda3839cf9eecb19b145dd97ec878c3ccb129b4edd5f6a6,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",4,Willingness to take risk,74,male,Afghanistan
8f09eb2a-ddee-4bff-a714-e980dd1425e3,861ab90ff7bfa9f05dda3839cf9eecb19b145dd97ec878c3ccb129b4edd5f6a6,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,74,male,Afghanistan
8f09eb2a-ddee-4bff-a714-e980dd1425e3,861ab90ff7bfa9f05dda3839cf9eecb19b145dd97ec878c3ccb129b4edd5f6a6,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,74,male,Afghanistan
8f09eb2a-ddee-4bff-a714-e980dd1425e3,861ab90ff7bfa9f05dda3839cf9eecb19b145dd97ec878c3ccb129b4edd5f6a6,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,74,male,Afghanistan
8f09eb2a-ddee-4bff-a714-e980dd1425e3,861ab90ff7bfa9f05dda3839cf9eecb19b145dd97ec878c3ccb129b4edd5f6a6,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,74,male,Afghanistan
8f09eb2a-ddee-4bff-a714-e980dd1425e3,861ab90ff7bfa9f05dda3839cf9eecb19b145dd97ec878c3ccb129b4edd5f6a6,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",9,Will return favor,74,male,Afghanistan
8f09eb2a-ddee-4bff-a714-e980dd1425e3,861ab90ff7bfa9f05dda3839cf9eecb19b145dd97ec878c3ccb129b4edd5f6a6,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",5,Will do revenge,74,male,Afghanistan
8f09eb2a-ddee-4bff-a714-e980dd1425e3,861ab90ff7bfa9f05dda3839cf9eecb19b145dd97ec878c3ccb129b4edd5f6a6,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,74,male,Afghanistan
8f09eb2a-ddee-4bff-a714-e980dd1425e3,861ab90ff7bfa9f05dda3839cf9eecb19b145dd97ec878c3ccb129b4edd5f6a6,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,4,Good at math,74,male,Afghanistan
8f09eb2a-ddee-4bff-a714-e980dd1425e3,861ab90ff7bfa9f05dda3839cf9eecb19b145dd97ec878c3ccb129b4edd5f6a6,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,74,male,Afghanistan
8f09eb2a-ddee-4bff-a714-e980dd1425e3,861ab90ff7bfa9f05dda3839cf9eecb19b145dd97ec878c3ccb129b4edd5f6a6,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,74,male,Afghanistan
8f09eb2a-ddee-4bff-a714-e980dd1425e3,861ab90ff7bfa9f05dda3839cf9eecb19b145dd97ec878c3ccb129b4edd5f6a6,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,74,male,Afghanistan
8f09eb2a-ddee-4bff-a714-e980dd1425e3,861ab90ff7bfa9f05dda3839cf9eecb19b145dd97ec878c3ccb129b4edd5f6a6,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1200 AFN and the same 50-percent chance of receiving nothing, OR Option 2: 40 AFN as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0,Risk 40,74,male,Afghanistan
8f09eb2a-ddee-4bff-a714-e980dd1425e3,861ab90ff7bfa9f05dda3839cf9eecb19b145dd97ec878c3ccb129b4edd5f6a6,What would you prefer? Option 1: A payment of 400 AFN today OR Option 2: 475.2 AFN in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,5,Delay 475.2,74,male,Afghanistan
8f09eb2a-ddee-4bff-a714-e980dd1425e3,861ab90ff7bfa9f05dda3839cf9eecb19b145dd97ec878c3ccb129b4edd5f6a6,Imagine someone did you a favor that cost them 20 AFN. How much would you be willing to spend to return the favor? Please answer with a single number.,150.0,Reciprocation 20,74,male,Afghanistan
8f09eb2a-ddee-4bff-a714-e980dd1425e3,861ab90ff7bfa9f05dda3839cf9eecb19b145dd97ec878c3ccb129b4edd5f6a6,Imagine someone did you a favor that cost them 40 AFN. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 40,74,male,Afghanistan
8f09eb2a-ddee-4bff-a714-e980dd1425e3,861ab90ff7bfa9f05dda3839cf9eecb19b145dd97ec878c3ccb129b4edd5f6a6,Imagine someone did you a favor that cost them 60 AFN. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 60,74,male,Afghanistan
8f09eb2a-ddee-4bff-a714-e980dd1425e3,861ab90ff7bfa9f05dda3839cf9eecb19b145dd97ec878c3ccb129b4edd5f6a6,Imagine someone did you a favor that cost them 80 AFN. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 80,74,male,Afghanistan
8f09eb2a-ddee-4bff-a714-e980dd1425e3,861ab90ff7bfa9f05dda3839cf9eecb19b145dd97ec878c3ccb129b4edd5f6a6,Imagine someone did you a favor that cost them 80 AFN. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 80,74,male,Afghanistan
8f09eb2a-ddee-4bff-a714-e980dd1425e3,861ab90ff7bfa9f05dda3839cf9eecb19b145dd97ec878c3ccb129b4edd5f6a6,Imagine someone did you a favor that cost them 100 AFN. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 100,74,male,Afghanistan
8f09eb2a-ddee-4bff-a714-e980dd1425e3,861ab90ff7bfa9f05dda3839cf9eecb19b145dd97ec878c3ccb129b4edd5f6a6,Imagine someone did you a favor that cost them 120 AFN. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 120,74,male,Afghanistan
8f09eb2a-ddee-4bff-a714-e980dd1425e3,861ab90ff7bfa9f05dda3839cf9eecb19b145dd97ec878c3ccb129b4edd5f6a6,You unexpectedly received 3600.0 AFN. How much of this amount would you donate to a good cause? Please answer with a single number.,27.77777777777778,Donation 3600.0,74,male,Afghanistan
29a75bc2-2707-4a15-a997-629a629fc061,4786866d005ec35f5edcff4a34ae272cf1625d155309611e20adee4ef2ef440f,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",5,Willingness to take risk,69,male,Afghanistan
29a75bc2-2707-4a15-a997-629a629fc061,4786866d005ec35f5edcff4a34ae272cf1625d155309611e20adee4ef2ef440f,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,69,male,Afghanistan
29a75bc2-2707-4a15-a997-629a629fc061,4786866d005ec35f5edcff4a34ae272cf1625d155309611e20adee4ef2ef440f,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,69,male,Afghanistan
29a75bc2-2707-4a15-a997-629a629fc061,4786866d005ec35f5edcff4a34ae272cf1625d155309611e20adee4ef2ef440f,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,69,male,Afghanistan
29a75bc2-2707-4a15-a997-629a629fc061,4786866d005ec35f5edcff4a34ae272cf1625d155309611e20adee4ef2ef440f,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,69,male,Afghanistan
29a75bc2-2707-4a15-a997-629a629fc061,4786866d005ec35f5edcff4a34ae272cf1625d155309611e20adee4ef2ef440f,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,69,male,Afghanistan
29a75bc2-2707-4a15-a997-629a629fc061,4786866d005ec35f5edcff4a34ae272cf1625d155309611e20adee4ef2ef440f,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",5,Will do revenge,69,male,Afghanistan
29a75bc2-2707-4a15-a997-629a629fc061,4786866d005ec35f5edcff4a34ae272cf1625d155309611e20adee4ef2ef440f,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,69,male,Afghanistan
29a75bc2-2707-4a15-a997-629a629fc061,4786866d005ec35f5edcff4a34ae272cf1625d155309611e20adee4ef2ef440f,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,4,Good at math,69,male,Afghanistan
29a75bc2-2707-4a15-a997-629a629fc061,4786866d005ec35f5edcff4a34ae272cf1625d155309611e20adee4ef2ef440f,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,69,male,Afghanistan
29a75bc2-2707-4a15-a997-629a629fc061,4786866d005ec35f5edcff4a34ae272cf1625d155309611e20adee4ef2ef440f,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,69,male,Afghanistan
29a75bc2-2707-4a15-a997-629a629fc061,4786866d005ec35f5edcff4a34ae272cf1625d155309611e20adee4ef2ef440f,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,69,male,Afghanistan
29a75bc2-2707-4a15-a997-629a629fc061,4786866d005ec35f5edcff4a34ae272cf1625d155309611e20adee4ef2ef440f,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1200 AFN and the same 50-percent chance of receiving nothing, OR Option 2: 40 AFN as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0,Risk 40,69,male,Afghanistan
29a75bc2-2707-4a15-a997-629a629fc061,4786866d005ec35f5edcff4a34ae272cf1625d155309611e20adee4ef2ef440f,What would you prefer? Option 1: A payment of 400 AFN today OR Option 2: 501.6 AFN in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,7,Delay 501.6,69,male,Afghanistan
29a75bc2-2707-4a15-a997-629a629fc061,4786866d005ec35f5edcff4a34ae272cf1625d155309611e20adee4ef2ef440f,Imagine someone did you a favor that cost them 20 AFN. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 20,69,male,Afghanistan
29a75bc2-2707-4a15-a997-629a629fc061,4786866d005ec35f5edcff4a34ae272cf1625d155309611e20adee4ef2ef440f,Imagine someone did you a favor that cost them 40 AFN. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 40,69,male,Afghanistan
29a75bc2-2707-4a15-a997-629a629fc061,4786866d005ec35f5edcff4a34ae272cf1625d155309611e20adee4ef2ef440f,Imagine someone did you a favor that cost them 60 AFN. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 60,69,male,Afghanistan
